#          BLOCK:      ACTUAL_TE:         TE_AVE:          ERROR:
             165          1.6167         1.59367     0.000887062
             166         1.61508          1.5938     0.000891042
             167         1.61327         1.59392     0.000893298
             168         1.61128         1.59402     0.000893939
             169         1.60912         1.59411     0.000893103
             170         1.60681         1.59419      0.00089097
             171         1.60437         1.59424      0.00088775
             172         1.60183         1.59429     0.000883682
             173         1.59918         1.59432     0.000879025
             174         1.59646         1.59433      0.00087406
             175         1.59372         1.59433     0.000869072
             176         1.59096         1.59431     0.000864345
             177         1.58821         1.59427     0.000860148
             178         1.58549         1.59422     0.000856729
             179         1.58284         1.59416     0.000854301
             180         1.58026         1.59408     0.000853038
             181         1.57779         1.59399     0.000853059
             182         1.57545         1.59389     0.000854433
             183         1.57326         1.59378     0.000857169
             184         1.57123         1.59366     0.000861225
             185         1.56937         1.59352      0.00086652
             186         1.56768         1.59338     0.000872932
             187         1.56618         1.59324     0.000880302
             188         1.56487         1.59309     0.000888458
             189         1.56375         1.59293     0.000897214
             190         1.56282         1.59277     0.000906386
             191         1.56206         1.59261     0.000915792
             192         1.56149         1.59245     0.000925258
             193         1.56109         1.59229     0.000934629
             194         1.56085         1.59213     0.000943757
             195         1.56077         1.59197     0.000952522
             196         1.56082         1.59181     0.000960829
             197           1.561         1.59165     0.000968597
             198         1.56129          1.5915     0.000975769
             199         1.56169         1.59135     0.000982293
             200          1.5622          1.5912     0.000988135
             201         1.56278         1.59106     0.000993282
             202         1.56345         1.59092     0.000997728
             203         1.56416         1.59079      0.00100149
             204         1.56493         1.59067      0.00100457
             205         1.56574         1.59054        0.001007
             206         1.56658         1.59043      0.00100881
             207         1.56745         1.59032      0.00101002
             208         1.56833         1.59021      0.00101068
             209         1.56922         1.59011      0.00101082
             210         1.57012         1.59002      0.00101048
             211         1.57101         1.58993       0.0010097
             212          1.5719         1.58984      0.00100851
             213         1.57277         1.58976      0.00100695
             214         1.57363         1.58968      0.00100506
             215         1.57448         1.58961      0.00100287
             216          1.5753         1.58955      0.00100042
             217          1.5761         1.58949     0.000997726
             218         1.57687         1.58943     0.000994825
             219         1.57762         1.58937     0.000991743
             220         1.57834         1.58932     0.000988502
             221         1.57903         1.58928     0.000985125
             222          1.5797         1.58923     0.000981632
             223         1.58034         1.58919      0.00097804
             224         1.58095         1.58916     0.000974367
             225         1.58153         1.58912     0.000970627
             226         1.58208         1.58909     0.000966832
             227         1.58261         1.58906     0.000962995
             228         1.58311         1.58904     0.000959126
             229         1.58358         1.58901     0.000955233
