# V_BIN:           COUNTS:
0.2                 0
0.6                 0
1                 0
1.4                 0
1.8                 0
2.2                 0
2.6               108
3                 0
3.4                 0
3.8                 0
4.2                 0
4.6                 0
5                 0
5.4                 0
5.8                 0
6.2                 0
6.6                 0
7                 0
7.4                 0
7.8                 0
