#blocchi mean_prog err_prog
1 1.47609 0
2 1.41249 0.0636085
3 1.44676 0.0502327
4 1.47085 0.0429216
5 1.48852 0.0376503
6 1.49174 0.0309095
7 1.49552 0.0263943
8 1.50232 0.0238491
9 1.50886 0.0220265
10 1.50769 0.0197359
11 1.5047 0.0180994
12 1.50453 0.0165233
13 1.49645 0.0172159
14 1.49812 0.0160266
15 1.49792 0.0149213
16 1.50078 0.0142475
17 1.49979 0.0134196
18 1.50241 0.0129219
19 1.50133 0.0122712
20 1.50269 0.0117209
21 1.50429 0.0112626
22 1.50502 0.0107636
23 1.50669 0.0104198
24 1.50749 0.0100085
25 1.50507 0.00990116
26 1.50122 0.0102629
27 1.50101 0.00987763
28 1.50243 0.00962305
29 1.5015 0.00933155
30 1.50037 0.00908643
31 1.49972 0.00881201
32 1.49985 0.00853312
33 1.49772 0.00854072
34 1.49693 0.00832255
35 1.49762 0.00811024
36 1.4977 0.00788212
37 1.50024 0.00807594
38 1.50078 0.00787938
39 1.50151 0.0077089
40 1.50083 0.00754436
41 1.50228 0.00749957
42 1.50088 0.00745115
43 1.50019 0.00730858
44 1.5008 0.0071665
45 1.50047 0.00701293
46 1.49977 0.00689481
47 1.49963 0.00674787
48 1.49899 0.00663685
49 1.49844 0.00652377
50 1.49758 0.00644859
51 1.49952 0.00660942
52 1.49984 0.00648915
53 1.49924 0.00639376
54 1.49844 0.00632512
55 1.49767 0.00625681
56 1.49867 0.00622542
57 1.49862 0.00611542
58 1.49886 0.00601364
59 1.49838 0.00592992
60 1.49838 0.00583026
61 1.49801 0.00574567
62 1.49882 0.00570982
63 1.49895 0.00561999
64 1.498 0.00561285
65 1.49715 0.00559002
66 1.49626 0.00557626
67 1.49635 0.00549317
68 1.49624 0.00541287
69 1.49608 0.00533623
70 1.49612 0.00525957
71 1.49602 0.00518604
72 1.49607 0.00511377
73 1.49655 0.00506655
74 1.49693 0.005012
75 1.49642 0.00497131
76 1.49693 0.00493211
77 1.49671 0.00487251
78 1.49617 0.00484051
79 1.49591 0.0047856
80 1.49608 0.00472823
81 1.49672 0.00471394
82 1.49599 0.0047136
83 1.49584 0.00465874
84 1.49654 0.00465471
85 1.49652 0.00459965
86 1.49592 0.00458497
87 1.49581 0.0045334
88 1.49491 0.0045699
89 1.49582 0.00460878
90 1.49609 0.00456525
91 1.49625 0.0045176
92 1.49614 0.00446965
93 1.49609 0.00442155
94 1.49604 0.00437462
95 1.49588 0.00433107
96 1.49561 0.0042945
97 1.49589 0.00425927
98 1.49537 0.00424782
99 1.4944 0.00431317
100 1.49427 0.00427187
