# Block  acceptance
0      0.5094
1      0.4976
2      0.5149
3      0.5023
4      0.5138
5      0.5046
6      0.5081
7      0.5186
8      0.5079
9      0.5078
10      0.5074
11      0.5133
12      0.5054
13      0.5133
14      0.5086
15      0.5117
16      0.5067
17       0.512
18      0.5127
19      0.5087
20      0.5122
21      0.5086
22      0.4976
23      0.5093
24      0.5084
25       0.502
26       0.507
27      0.5184
28      0.5117
29      0.5121
30       0.504
31      0.5152
32      0.5122
33      0.5232
34      0.5006
35      0.5034
36      0.5191
37      0.5108
38      0.5028
39      0.5094
40      0.5142
41      0.5109
42      0.5029
43      0.5116
44      0.5122
45      0.5042
46      0.5064
47      0.5131
48      0.5054
49      0.5036
50       0.509
51      0.5088
52      0.5045
53      0.5091
54      0.5011
55      0.5141
56      0.5094
57      0.5157
58      0.4999
59      0.5102
60      0.5073
61      0.5038
62      0.5017
63      0.5021
64      0.5049
65       0.505
66      0.5106
67      0.5173
68      0.5085
69       0.502
70      0.5064
71      0.5066
72      0.5124
73      0.5135
74      0.5079
75      0.5054
76       0.513
77      0.5167
78      0.5097
79       0.519
80      0.5147
81      0.5076
82      0.4974
83      0.5099
84      0.5041
85      0.5002
86      0.5053
87      0.5099
88      0.5204
89      0.5199
90       0.499
91      0.5056
92      0.5179
93      0.4999
94      0.5042
95      0.5082
96      0.5118
97       0.502
98      0.5096
99      0.5061
