#blocchi mean_prog err_prog
1 5.00438 0
2 5.03829 0.0339052
3 5.10396 0.0685321
4 5.0813 0.0534975
5 5.07929 0.0414878
6 5.06547 0.036584
7 5.05186 0.033783
8 5.03752 0.0325833
9 5.03535 0.028817
10 5.02416 0.0281005
11 5.02828 0.0257496
12 5.02114 0.0245653
13 5.01396 0.0237125
14 5.00399 0.0241097
15 5.00214 0.0225211
16 4.99792 0.0214846
17 4.99222 0.0209706
18 4.99498 0.0199628
19 4.99526 0.018885
20 4.99404 0.0179573
21 5.00072 0.0183373
22 5.00227 0.0175532
23 4.99523 0.0181907
24 4.99896 0.017811
25 5.00415 0.0178539
26 5.00604 0.0172576
27 5.00301 0.0168808
28 4.99976 0.0165877
29 4.99584 0.0164794
30 4.99788 0.0160513
31 4.99705 0.015547
32 4.99447 0.0152741
33 4.99481 0.014808
34 4.99269 0.0145219
35 4.99307 0.014106
36 4.99515 0.0138659
37 4.99798 0.0137803
38 4.99586 0.0135804
39 4.99421 0.0133292
40 4.99668 0.0132238
41 4.99851 0.013026
42 4.99849 0.0127121
43 5.00194 0.0128823
44 5.00048 0.0126697
45 5.00282 0.0126028
46 5.0017 0.0123759
47 4.9985 0.0125265
48 4.994 0.0130615
49 4.99545 0.0128735
50 4.99632 0.0126439
51 4.99827 0.0125451
52 4.99554 0.0126004
53 4.99468 0.0123903
54 4.99392 0.0121825
55 4.99161 0.0121805
56 4.99251 0.0119951
57 4.99315 0.0118001
58 4.99394 0.0116217
59 4.99007 0.0120589
60 4.99014 0.0118564
61 4.99157 0.0117475
62 4.99096 0.0115726
63 4.98979 0.0114474
64 4.99249 0.0115864
65 4.98996 0.0116832
66 4.99109 0.0115598
67 4.99211 0.0114312
68 4.99213 0.0112619
69 4.98991 0.0113174
70 4.99014 0.0111569
71 4.99161 0.0110962
72 4.99265 0.0109901
73 4.99524 0.0111454
74 4.99701 0.0111349
75 4.99562 0.0110728
76 4.99597 0.0109316
77 4.99484 0.0108476
78 4.99665 0.0108594
79 4.99792 0.0107957
80 4.99766 0.0106629
81 4.99768 0.0105304
82 4.99935 0.0105345
83 4.99966 0.0104115
84 4.99901 0.010307
85 4.99831 0.0102094
86 4.99837 0.0100902
87 4.99923 0.0100105
88 5.0002 0.00994372
89 4.99969 0.00984453
90 4.99986 0.00973593
91 4.99994 0.0096287
92 5.00107 0.0095906
93 5.00189 0.00952178
94 5.00149 0.00942848
95 5.00245 0.00937866
96 5.0019 0.00929673
97 5.00307 0.00927413
98 5.00276 0.00918413
99 5.00036 0.00940316
100 4.99948 0.00934999
