# EV_STEP          L_best             <L>
265         5.69074         5.81474
266         5.69074         5.78671
267         5.69074          5.7768
268         5.69074         5.72115
269         5.69074         5.69152
270         5.69074         5.74067
271         5.69074         5.75577
272         5.69074          5.7188
273         5.69074         5.71487
274         5.69074         5.71485
275         5.56289         5.73391
276         5.56289         5.75733
277         5.56289         5.65233
278         5.56289         5.73588
279         5.56289         5.64548
280         5.56289         5.61598
281         5.56289         5.58776
282         5.55938         5.57092
283         5.55938         5.64665
284         5.55938         5.73194
285         5.55938         5.63015
286         5.55938         5.61023
287         5.55938         5.60095
288         5.55938         5.61652
289         5.55938          5.6234
290         5.55938         5.61742
291         5.55938          5.5901
292         5.55938         5.67487
293         5.55938         5.65633
294         5.55938         5.63283
295         5.55938          5.5986
296         5.55938         5.56844
297         5.54159         5.62627
298         5.54159         5.65284
299         5.54159         5.64576
300         5.54159         5.72026
301         5.54159         5.57235
302         5.54159         5.56785
303         5.54159         5.57113
304         5.54159         5.62128
305         5.54159         5.71713
306         5.54159         5.74577
307         5.54159         5.67129
308         5.54159         5.55987
309         5.54159         5.54515
310         5.54159         5.58598
311         5.54159         5.60682
312         5.54159          5.6059
313         5.54159         5.61161
314         5.54159         5.58834
315         5.54159         5.62603
316         5.54159         5.69304
317         5.54159         5.68606
318         5.54159         5.58152
319         5.54159         5.63528
320         5.54159         5.57468
321         5.54159         5.60887
322         5.54159         5.64488
323         5.54159          5.6409
324         5.54159         5.69075
325         5.54159         5.65185
326         5.54159         5.61534
327         5.54159         5.61197
328         5.54159         5.63106
329         5.54159         5.71182
330         5.54159          5.7394
331         5.54159         5.72926
332         5.54159         5.69021
333         5.54159         5.58595
334         5.54159          5.5781
335         5.54159         5.54159
336         5.54159         5.63383
337         5.54159          5.6029
338         5.54159         5.55217
339         5.54159         5.61451
340         5.54159         5.63352
341         5.54159         5.57856
342         5.54159         5.60594
343         5.54159         5.58144
344         5.54159         5.56777
345         5.54159         5.58365
346         5.54159         5.56216
347         5.54159         5.57896
348         5.54159         5.59933
349         5.54159         5.69904
350         5.54159         5.61033
351         5.54159         5.61034
352          5.5204         5.68569
353          5.5204         5.72624
354          5.5204         5.65055
355          5.5204         5.58863
356          5.5204         5.60252
357          5.5204         5.65283
358          5.5204         5.60495
359          5.5204         5.60326
360          5.5204         5.64559
361          5.5204         5.56606
362          5.5204         5.55362
363          5.5204         5.66011
364          5.5204         5.70632
365          5.5204         5.58487
366          5.5204         5.52078
367          5.5204         5.54266
368          5.5204         5.57246
369          5.5204         5.60872
370          5.5204         5.53914
371          5.5204          5.5204
372          5.5204         5.52591
373          5.5204         5.53147
374          5.5204         5.53764
375          5.5204         5.54306
376          5.5204         5.52156
377          5.5204         5.52317
378          5.5204         5.52508
379          5.5204          5.5553
380          5.5204         5.52316
381          5.5204         5.53616
382          5.5204         5.53758
383          5.5204         5.52576
384          5.5204         5.53001
385          5.5204         5.60217
386          5.5204         5.54111
387          5.5204         5.52938
388          5.5204          5.5801
389          5.5204         5.55893
390          5.5204          5.5954
391          5.5204         5.58827
392          5.5204         5.58708
393          5.5204         5.58137
394          5.5204         5.62653
395          5.5204         5.73087
396          5.5204         5.55764
397          5.5204         5.59139
398          5.5204         5.55141
399          5.5204          5.5819
400          5.5204         5.55413
401          5.5204         5.60757
402          5.5204         5.62131
403          5.5204         5.66827
404          5.5204          5.5973
405          5.5204         5.61235
406          5.5204         5.61232
407          5.5204         5.54764
408          5.5204         5.59523
409          5.5204         5.71253
410         5.50337         5.74059
411         5.48011         5.69682
412         5.48011         5.62616
413         5.48011          5.5767
414         5.48011         5.66825
415         5.48011         5.60683
416         5.47969         5.56381
417         5.47969         5.56558
418         5.47969         5.49787
419         5.47969         5.52551
420         5.47969         5.53169
421         5.47969         5.52506
422         5.47969         5.52692
423         5.47969         5.52919
424         5.47969         5.52075
425         5.47969          5.4843
426         5.47969         5.49373
427         5.46212         5.47957
428         5.46212         5.48841
429         5.46212         5.47867
430         5.46212         5.52624
431         5.46212         5.57816
432         5.46212          5.6218
433         5.46212         5.52224
434         5.46212         5.62525
435         5.46212         5.52353
436         5.46212         5.52191
437         5.46212         5.51391
438         5.46212         5.52692
439         5.46212         5.50598
440         5.46212         5.49245
441         5.46212          5.4681
442         5.46212         5.46212
443         5.46212         5.46212
444         5.46212         5.46219
445         5.46212         5.48007
446         5.46212         5.47682
447         5.46212         5.51023
448         5.46212         5.51087
449         5.46212         5.48936
450         5.46212         5.48123
451         5.46212         5.48895
452         5.46212         5.49066
453         5.46212         5.63618
454         5.46212         5.59838
455         5.46212         5.52457
456         5.46212         5.55527
457         5.46212         5.65441
458         5.46212         5.57542
459         5.46212         5.49907
460         5.46212         5.52046
461         5.46212         5.52316
462         5.46212         5.54186
463         5.46212         5.56242
464         5.46212         5.47611
465         5.46212         5.47955
466         5.46212          5.4629
467         5.46212         5.53708
468         5.46212           5.486
469         5.46212         5.50029
470         5.46212         5.49976
471         5.46212           5.496
472         5.46212         5.53065
473         5.46212         5.52337
474         5.46212         5.47365
475         5.46212         5.47052
476         5.46212         5.47644
477         5.46212          5.4749
478         5.46212         5.52897
479         5.46212         5.60795
480         5.46212          5.5142
481         5.46212         5.48285
482         5.46212          5.5042
483         5.46212         5.56082
484         5.46212         5.52417
485         5.46212         5.50459
486         5.46212         5.47283
487         5.46212         5.47196
488         5.46212         5.51296
489         5.46212         5.56428
490         5.46212         5.53738
491         5.46212         5.60056
492         5.46212         5.54339
493         5.46212         5.54644
494         5.46212         5.57812
495         5.46212         5.61848
496         5.46212         5.56071
497         5.46212         5.55483
498         5.46212         5.53377
499         5.46212         5.54957
500         5.46212         5.56706
501         5.46212         5.59484
502         5.46212         5.57351
503         5.46212         5.51789
504         5.46212         5.52441
505         5.46212         5.54152
506         5.46212          5.5058
507         5.46212         5.50591
508         5.46212         5.52998
509         5.46212          5.5305
510         5.46212          5.6811
511         5.46212         5.57351
512         5.46212         5.63665
513         5.46212         5.55512
514         5.46212         5.60473
515         5.46212         5.60352
516         5.46212         5.59635
517         5.46212         5.56063
518         5.46212         5.63397
519         5.46212         5.62637
520         5.46212         5.51538
521         5.46212         5.49765
522         5.46212         5.53414
523         5.40776          5.5412
524         5.40776         5.48636
525         5.40776         5.46291
526         5.40776         5.49761
527         5.40776          5.4419
528         5.40776         5.43974
529         5.40776         5.42072
530         5.40776         5.47576
531         5.40776         5.43942
532         5.40776         5.46181
533         5.40776         5.50727
534         5.40776         5.50506
535         5.40776         5.46957
536         5.40776         5.54337
537         5.40776         5.49813
538         5.40776         5.46799
539         5.40776         5.51214
540         5.40776         5.46609
541         5.40776         5.44568
542         5.40776         5.50768
543         5.40776         5.50266
544         5.40776         5.54078
545         5.40776         5.47587
546         5.40776         5.44581
547         5.40776         5.47324
548         5.40776         5.44161
549         5.40776         5.46415
550         5.40776         5.48265
551         5.40776          5.5759
552         5.40776          5.5643
553         5.40776         5.50692
554         5.40776         5.50966
555         5.40776         5.47599
556         5.40776         5.50984
557         5.40776         5.49806
558         5.40776         5.43553
559         5.40776         5.49975
560         5.40776          5.4715
561         5.40776         5.51173
562         5.40776         5.60809
563         5.40776         5.57114
564         5.40776         5.56299
565         5.40776         5.49911
566         5.40776         5.47888
567         5.40776         5.45397
568         5.40776         5.49746
569         5.40776         5.48242
570         5.40776         5.48816
571         5.40776         5.49499
572         5.40776         5.41937
573         5.40776         5.43272
574         5.40776         5.41774
575         5.40776         5.40776
576         5.40776         5.40788
577         5.40776         5.44236
578         5.40776         5.42075
579         5.40776         5.49816
580         5.40776         5.47899
581         5.40776         5.52273
582         5.40776         5.50675
583         5.40776         5.46376
584         5.40776         5.47978
585         5.40776           5.445
586         5.40776         5.46619
587         5.40776         5.43872
588         5.40776           5.532
589         5.40776         5.50456
590         5.40776         5.43122
591         5.40776         5.46068
592         5.40776         5.44698
593         5.40776         5.51223
594         5.40776         5.47102
595         5.40776          5.4078
596         5.40776          5.4203
597         5.40776         5.43503
598         5.40776         5.51193
599         5.40776         5.52309
600         5.40776         5.59844
601         5.40776          5.5459
602         5.40776         5.61442
603         5.40776         5.58638
604         5.40776         5.57632
605         5.40776          5.4545
606         5.40776         5.46431
607         5.40776         5.41543
608         5.40776         5.48067
609         5.40776         5.44633
610         5.40776         5.50419
611         5.40776          5.5122
612         5.40776         5.47458
613         5.40776         5.48697
614         5.40776         5.41686
615         5.40776         5.41007
616         5.40776          5.5214
617         5.40776         5.57927
618         5.40776         5.63496
619         5.40776         5.60684
620         5.40776         5.49791
621         5.40776         5.47026
622         5.40776         5.48646
623         5.40776         5.45564
624         5.40776         5.43356
625         5.40776         5.44769
626         5.40776         5.40964
627         5.40776         5.40776
628         5.40776         5.42341
629         5.40776         5.41858
630         5.40776         5.49437
631         5.40776         5.42702
632         5.40776         5.47108
633         5.40776          5.4933
634         5.40776         5.48463
635         5.40776         5.46311
636         5.40776         5.48082
637         5.40776         5.48029
638         5.40776         5.46046
639         5.40776         5.45155
640         5.40776         5.45657
641         5.40776         5.45801
642         5.40776         5.45422
643         5.40776         5.48542
644         5.40776         5.41085
645         5.40776         5.41697
646         5.40776         5.45666
647         5.40776         5.45936
648         5.40776         5.47735
649         5.40776         5.47724
650         5.40776         5.42618
651         5.40776         5.45542
652         5.40776         5.45223
653         5.40776         5.42647
654         5.40776          5.4368
655         5.40776          5.4106
656         5.40776         5.44022
657         5.40776         5.41658
658         5.40776         5.40776
659         5.40776         5.43845
660         5.40776         5.43914
661         5.40776         5.42779
662         5.40776         5.41714
663         5.40776          5.4192
664         5.40776         5.40776
665         5.40776         5.46721
666         5.40776         5.50151
667         5.40776         5.44556
668         5.40776         5.44129
669         5.40776         5.40821
670         5.40776         5.40821
671         5.40776         5.47396
672         5.40776         5.41059
673         5.40776         5.47725
674         5.40776          5.4327
675         5.40776         5.43683
676         5.40776         5.46877
677         5.40776         5.52777
678         5.40776         5.52808
679         5.40776         5.49175
680         5.40776         5.43457
681         5.40776         5.43779
682         5.40776         5.40854
683         5.40776           5.453
684         5.40776         5.47469
685         5.40776         5.54435
686         5.40776         5.52846
687         5.40776         5.59839
688         5.40776         5.50198
689         5.40776         5.47892
690         5.40776         5.49233
691         5.40776         5.57759
692         5.40776          5.5926
693         5.40776         5.63765
694         5.40776          5.5159
695         5.37821         5.44639
696         5.37821         5.41691
697         5.37821         5.51062
698         5.37821         5.51184
699         5.37821          5.4816
700         5.37821         5.41755
701         5.37821         5.42407
702         5.37821         5.38255
703         5.37821         5.41051
704         5.37821         5.38931
705         5.37821         5.38342
706         5.37821          5.4051
707         5.37821         5.39041
708         5.37821         5.46333
709         5.37821          5.5089
710         5.37821         5.52466
711         5.37821         5.57332
712         5.37821          5.5303
713         5.37821         5.46945
714         5.37821         5.40977
715         5.37821         5.44581
716         5.37821         5.39646
717         5.37821         5.43722
718         5.37821         5.38965
719         5.37821          5.4824
720         5.37821         5.44903
721         5.37821         5.43782
722         5.37821         5.49846
723         5.37821         5.56303
724         5.37821         5.53224
725         5.37821         5.45935
726         5.37821         5.41686
727         5.37821         5.39129
728         5.37821         5.41826
729         5.37821         5.41282
730         5.37821         5.39813
731         5.37821         5.45737
732         5.37821         5.41638
733         5.37821          5.3929
734         5.37821         5.38663
735         5.37821         5.40558
736         5.37821         5.50143
737         5.37821         5.54036
738         5.37821         5.50706
739         5.37821         5.48102
740         5.37821         5.50554
741         5.37821         5.42567
742         5.37821          5.4164
743         5.37821          5.4243
744         5.37821          5.3993
745         5.37821         5.40234
746         5.37821         5.37821
747         5.37821         5.41306
