# EV_STEP          L_best             <L>
266         8.04779         8.18781
267         8.04779          8.2038
268         8.04779         8.09651
269         8.04779         8.04868
270         8.04779         8.11657
271         8.04779         8.19867
272         8.04779          8.1151
273         8.04779         8.08739
274         8.04779         8.10484
275         8.04779         8.09764
276         8.04779         8.14924
277         8.04779          8.0553
278         8.04779         8.23426
279         8.04779         8.08785
280         8.04779         8.07591
281         8.04779         8.04897
282         8.04779         8.04779
283         8.04779         8.13132
284         8.04779         8.36275
285         8.04779         8.19449
286         8.04779         8.15571
287         8.04779         8.15805
288         8.04779         8.14683
289         8.04779         8.15929
290         8.04779         8.12396
291         8.04779         8.07776
292         8.04779         8.20613
293         8.04779         8.26376
294         8.04779         8.12417
295         8.04779         8.11736
296         8.04779         8.06485
297         8.04779         8.18866
298         8.04779         8.21812
299         8.04779         8.25521
300         8.04779         8.36124
301         8.04779           8.086
302         8.04779         8.06275
303         8.04779         8.07696
304         8.04779         8.14785
305         8.04779         8.42871
306         8.04779         8.42436
307         8.04779         8.22833
308         8.04779         8.07182
309         8.04779         8.04817
310         8.04779         8.09597
311         8.04779          8.1817
312         8.04779         8.16255
313         8.04779         8.10163
314         8.04779         8.05831
315         8.04779         8.20446
316         8.04779         8.29605
317         8.04779         8.26482
318         8.04779          8.1251
319         8.04779         8.23294
320         8.04779          8.1248
321         8.04779         8.16528
322         8.04779         8.25771
323         8.04779         8.20136
324         8.04779         8.31799
325         8.04779         8.26538
326         8.04779         8.13326
327         8.04779         8.10382
328         8.04779         8.17293
329         8.04779         8.34336
330         8.04779         8.35127
331         8.04779         8.41195
332         8.04779         8.33202
333         8.04779         8.13549
334         8.04779         8.11517
335         8.04779         8.04779
336         8.04779         8.22258
337         8.04779         8.15418
338         8.04779         8.06948
339         8.04779         8.17288
340         8.04779         8.24098
341         8.04779         8.12006
342         8.04779         8.16755
343         8.04779         8.16584
344         8.04779         8.11029
345         8.04779         8.12554
346         8.04779         8.10978
347         8.04779         8.11239
348         8.04779         8.10679
349         8.04779         8.25868
350         8.04779         8.15066
351         8.04779         8.14517
352         8.04779         8.27544
353         8.04779         8.44368
354         8.04779         8.28367
355         8.04779          8.1471
356         8.04779         8.21901
357         8.04779         8.30442
358         8.04779         8.20092
359         8.04779         8.30774
360         8.04779         8.64223
361         7.65083         8.40156
362         7.65083         8.40345
363         6.24306         8.57331
364         6.24306         8.59756
365         6.24306         8.34801
366         6.24306         7.87623
367         6.24306         7.94769
368         6.24306         7.85374
369         6.24306         7.75301
370         6.24306         7.29372
371         6.24306         6.65907
372         6.24306          6.6396
373         6.24306         6.53597
374         6.24306         6.49001
375         6.24306         6.52558
376         6.24306         6.36754
377         6.24306         6.33731
378         6.24306         6.33413
379         6.24306         6.35266
380         6.24306          6.2775
381         6.24306         6.28347
382         6.24306         6.28101
383         6.24306         6.26698
384         6.24306         6.27702
385         6.24306         6.37163
386         6.24306         6.30007
387         6.24306         6.28062
388         6.24306         6.39799
389         6.24306          6.3283
390         6.24306          6.3801
391         6.24306         6.40237
392         6.24306         6.32669
393         6.24306         6.41975
394         6.24306         6.51421
395         6.24306         6.77158
396         6.24306         6.29951
397         6.24306         6.33371
398         6.24306         6.34432
399         6.24306         6.35126
400         6.24306         6.31726
401         6.24306         6.38304
402         6.24306         6.45029
403         6.24306         6.54778
404         6.24306         6.37594
405         6.24306         6.42433
406         6.24306         6.46579
407         6.24306         6.34831
408         6.24306         6.46288
409         6.24306         6.81358
410         6.24306         6.85659
411         6.24306         6.61551
412         6.24306         6.43561
413         6.24306         6.33166
414         6.24306         6.51153
415         6.24306          6.4148
416         6.24306         6.32963
417         6.24306         6.34475
418         6.24306         6.24372
419         6.24306         6.29589
420         6.24306          6.3139
421         6.24306         6.31574
422         6.24306         6.32511
423         6.24306         6.31044
424         6.24306          6.3207
425         6.24306         6.24744
426         6.24306         6.26718
427         6.24306         6.24306
428         6.24306          6.2548
429         6.24306         6.24937
430         6.24306         6.37929
431         6.24306         6.52829
432         6.24306         6.53259
433         6.24306         6.29902
434         6.24306         6.55408
435         6.24306         6.44197
436         6.24306         6.37969
437         6.24306         6.35696
438         6.24306         6.40926
439         6.24306         6.36859
440         6.24306         6.36451
441         6.24306         6.26023
442         6.24306         6.26161
443         6.24306         6.25847
444         6.24306         6.25908
445         6.24306         6.31606
446         6.24306         6.27719
447         6.24306         6.34933
448         6.24306         6.34832
449         6.24306         6.27807
450         6.24306         6.26074
451         6.24306         6.29493
452         6.24306         6.28641
453         6.24306         6.60936
454         6.24306         6.53716
455         6.24306         6.39418
456         6.24306          6.4236
457         6.24306         6.73793
458         6.24306         6.49358
459         6.24306         6.30253
460         6.24306         6.34386
461         6.24306         6.33121
462         6.24306         6.37829
463         6.24306         6.42373
464         6.24306         6.25339
465         6.24306         6.25969
466         6.24306         6.24306
467         6.24306         6.34987
468         6.24306         6.25915
469         6.24306         6.37053
470         6.24306         6.37367
471         6.24306         6.32896
472         6.24306         6.40054
473         6.24306         6.34083
474         6.24306         6.26426
475         6.24306         6.29827
476         6.24306         6.26127
477         6.24306         6.31369
478         6.24306         6.41725
479         6.24306         6.72488
480         6.24306         6.45718
481         6.24306         6.35239
482         6.24306         6.37109
483         6.24306         6.53046
484         6.24306         6.43169
485         6.24306         6.34889
486         6.24306         6.28292
487         6.24306         6.26507
488         6.24306         6.30034
489         6.24306         6.39583
490         6.24306         6.34424
491         6.24306         6.43259
492         6.24306         6.40007
493         6.24306         6.34524
494         6.24306         6.47296
495         6.24306         6.64558
496         6.24306         6.46343
497         6.24306         6.45873
498         6.24306         6.46827
499         6.24306           6.577
500         6.24306         6.58511
501         6.24306         6.62633
502         6.24306         6.56801
503         6.24306         6.37464
504         6.24306         6.33828
505         6.24306         6.41278
506         6.24306         6.32308
507         6.24306         6.32691
508         6.24306          6.3371
509         6.24306         6.35689
510         6.24306         6.69769
511         6.24306         6.49262
512         6.24306         6.59522
513         6.24306         6.46369
514         6.24306         6.56928
515         6.24306         6.40399
516         6.24306         6.41822
517         6.24306         6.36949
518         6.24306          6.4842
519         6.24306         6.44228
520         6.24306          6.3263
521         6.24306         6.31667
522         6.24306         6.40924
523         6.24306         6.35314
524         6.24306         6.29732
525         6.24306         6.25704
526         6.24306         6.36531
527         6.24306         6.32336
528         6.24306         6.29203
529         6.24306         6.25674
530         6.24306         6.40903
531         6.24306         6.33788
532         6.24306         6.38762
533         6.24306          6.4458
534         6.24306         6.44563
535         6.24306         6.41925
536         6.24306         6.52825
537         6.24306         6.44848
538         6.24306         6.40533
539         6.24306         6.47084
540         6.24306         6.34616
541         6.24306         6.29167
542         6.24306         6.44439
543         6.24306         6.49194
544         6.24306         6.48743
545         6.24306         6.49736
546         6.24306         6.34971
547         6.24306         6.37006
548         6.24306         6.29838
549         6.24306         6.32446
550         6.24306         6.38495
551         6.24306         6.57331
552         6.24306         6.65881
553         6.24306         6.49759
554         6.24306         6.54529
555         6.24306         6.53271
556         6.24306         6.57046
557         6.24306         6.41376
558         6.24306         6.29627
559         6.24306         6.48286
560         6.24306         6.38004
561         6.24306         6.40999
562         6.24306         6.73187
563         6.24306         6.58414
564         6.24306          6.5019
565         6.24306         6.36093
566         6.24306         6.28817
567         6.24306         6.28363
568         6.24306          6.3525
569         6.24306          6.3128
570         6.24306         6.37269
571         6.24306         6.43392
572         6.24306         6.25442
573         6.24306         6.27875
574         6.24306         6.24992
575         6.24306         6.24306
576         6.24306         6.24314
577         6.24306         6.32923
578         6.24306         6.33245
579         6.24306         6.47105
580         6.24306         6.40675
581         6.24306         6.48373
582         6.24306         6.50637
583         6.24306         6.49813
584         6.24306         6.55249
585         6.24306         6.43301
586         6.24306         6.40647
587         6.24306         6.32122
588         6.24306         6.53715
589         6.24306         6.43989
590         6.24306         6.30746
591         6.24306         6.34978
592         6.24306         6.30169
593         6.24306         6.48934
594         6.24306         6.32844
595         6.24306         6.24319
596         6.24306         6.25901
597         6.24306         6.27763
598         6.24306          6.4396
599         6.24306         6.52643
600         6.24306         6.73922
601         6.24306         6.56593
602         6.24306          6.7394
603         6.24306         6.54672
604         6.24306         6.52523
605         6.24306         6.31664
606         6.24306         6.31965
607         6.24306         6.25696
608         6.24306         6.40017
609         6.24306         6.32118
610         6.24306         6.48933
611         6.24306          6.5102
612         6.24306         6.37206
613         6.24306         6.34791
614         6.24306         6.26017
615         6.24306         6.25261
616         6.24306         6.45531
617         6.24306         6.71494
618         6.24306         6.76851
619         6.24306         6.63079
620         6.24306         6.37213
621         6.24306         6.39277
622         6.24306         6.37452
623         6.24306         6.28862
624         6.24306         6.25565
625         6.24306          6.3165
626         6.24306         6.24672
627         6.24306         6.24306
628         6.24306         6.26535
629         6.24306         6.27053
630         6.24306         6.38903
631         6.24306         6.28752
632         6.24306         6.37307
633         6.24306         6.41228
634         6.24306         6.35648
635         6.24306         6.33572
636         6.24306         6.34074
637         6.24306         6.37574
638         6.24306         6.32966
639         6.24306         6.28351
640         6.24306          6.3351
641         6.24306         6.32735
642         6.24306         6.31827
643         6.24306          6.3113
644         6.24306         6.24306
645         6.24306          6.2674
646         6.24306         6.48002
647         6.24306         6.35167
648         6.24306         6.40982
649         6.24306         6.39268
650         6.24306         6.26905
651         6.24306         6.35024
652         6.24306         6.42056
653         6.24306         6.32596
654         6.24306         6.35614
655         6.24306         6.27644
656         6.24306         6.44041
657         6.24306         6.37162
658         6.24306         6.26338
659         6.24306         6.30552
660         6.24306         6.27579
661         6.24306         6.27405
662         6.24306         6.27408
663         6.24306         6.29043
664         6.24306         6.24359
665         6.24306         6.39972
666         6.24306         6.44612
667         6.24306         6.35805
668         6.24306         6.34016
669         6.24306         6.24345
670         6.24306         6.24324
671         6.24306         6.37799
672         6.24306         6.24525
673         6.24306         6.34829
674         6.24306         6.29384
675         6.24306         6.32244
676         6.24306         6.36789
677         6.24306         6.46791
678         6.24306          6.4753
679         6.24306         6.41669
680         6.24306         6.28242
681         6.24306         6.33615
682         6.24306         6.24306
683         6.24306         6.31514
684         6.24306         6.30892
685         6.24306         6.47006
686         6.24306         6.44914
687         6.24306         6.78321
688         6.24306         6.51194
689         6.24306         6.49224
690         6.24306         6.55201
691         6.24306         6.75208
692         6.24306         6.79259
693         6.24306         6.82732
694         6.24306           6.432
695         6.24306          6.2749
696         6.24306          6.2517
697         6.24306         6.40331
698         6.24306         6.43641
699         6.24306          6.4562
700         6.24306         6.34885
701         6.24306         6.34596
702         6.24306         6.24332
703         6.24306         6.32471
704         6.24306          6.2816
705         6.24306         6.24385
706         6.24306         6.30057
707         6.24306         6.26467
708         6.24306         6.48717
709         6.24306         6.56286
710         6.24306         6.47075
711         6.24306         6.79031
712         6.24306         6.74842
713         6.24306         6.58303
714         6.24306         6.34813
715         6.24306         6.39596
716         6.24306         6.27447
717         6.24306         6.38204
718         6.24306         6.28787
719         6.24306         6.40774
720         6.24306         6.32537
721         6.24306         6.32001
722         6.24306         6.49129
723         6.24306         6.66793
724         6.24306         6.53633
725         6.24306         6.44971
726         6.24306         6.35458
727         6.24306         6.32957
728         6.24306         6.39585
729         6.24306         6.35197
730         6.24306         6.28747
731         6.24306         6.43236
732         6.24306         6.36601
733         6.24306         6.27382
734         6.24306         6.24319
735         6.24306          6.2803
736         6.24306         6.47815
737         6.24306          6.6512
738         6.24306         6.54675
739         6.24306         6.40982
740         6.24306           6.558
741         6.24306         6.37905
742         6.24306         6.31732
743         6.24306         6.33933
744         6.24306         6.32092
745         6.24306         6.34665
746         6.24306         6.26454
747         6.24306         6.33308
748         6.24306         6.37804
749         6.24306         6.48345
750         6.24306         6.36656
751         6.24306         6.30829
752         6.24306         6.48422
753         6.24306         6.41028
754         6.24306         6.58929
755         6.24306         6.42259
756         6.24306         6.35077
757         6.24306         6.41264
758         6.24306         6.39592
759         6.24306         6.49007
760         6.24306         6.46186
761         6.24306         6.34483
762         6.24306         6.44628
763         6.24306         6.45994
764         6.24306         6.46239
765         6.24306         6.43419
766         6.24306         6.44996
767         6.24306         6.31194
768         6.24306         6.42654
769         6.24306         6.39073
770         6.24306         6.35896
771         6.24306         6.43198
772         6.24306         6.45501
773         6.24306         6.38657
774         6.24306         6.34754
775         6.24306         6.25474
776         6.24306         6.24372
777         6.24306         6.24306
778         6.24306         6.25294
779         6.24306         6.25865
780         6.24306         6.31501
781         6.24306         6.25055
782         6.24306         6.29872
783         6.24306         6.28683
784         6.24306         6.39927
785         6.24306         6.30566
786         6.24306         6.27693
787         6.24306         6.29335
788         6.24306         6.24345
789         6.24306         6.24306
790         6.24306         6.24306
791         6.24306         6.24306
792         6.24306         6.25475
793         6.24306         6.34208
794         6.24306         6.38525
795         6.24306         6.24575
796         6.24306         6.30352
797         6.24306         6.35187
798         6.24306         6.59729
799         6.24306         6.34118
800         6.24306          6.3085
801         6.24306         6.43127
802         6.24306          6.2932
803         6.24306         6.32575
804         6.24306         6.30993
805         6.24306          6.2514
806         6.24306         6.36896
807         6.24306         6.51636
808         6.24306         6.83777
809         6.24306         6.46791
810         6.24306         6.28725
811         6.24306         6.49917
812         6.24306         6.49386
813         6.24306         6.71347
814         6.24306         6.58979
815         6.24306         6.43306
816         6.24306         6.45652
817         6.24306         6.59185
818         6.24306         6.54977
819         6.24306         6.38829
820         6.24306         6.37027
821         6.24306         6.25206
822         6.24306          6.3074
823         6.24306         6.25392
824         6.24306          6.2946
825         6.24306         6.35096
826         6.24306         6.47972
827         6.24306         6.54262
828         6.24306         6.62357
829         6.24306         6.34224
830         6.24306         6.47088
831         6.24306          6.3592
832         6.24306         6.26986
833         6.24306         6.31498
834         6.24306         6.39749
835         6.24306         6.30535
836         6.24306         6.33331
837         6.24306         6.39317
838         6.24306         6.38551
839         6.24306         6.33985
840         6.24306         6.44215
841         6.24306         6.30144
842         6.24306         6.42643
843         6.24306         6.43089
844         6.24306         6.39974
845         6.24306          6.3149
846         6.24306         6.39087
847         6.24306         6.62949
848         6.24306         6.64051
849         6.24306           6.456
850         6.24306         6.34352
851         6.24306         6.37546
852         6.24306         6.34114
853         6.24306         6.30644
854         6.24306         6.37994
855         6.24306         6.31863
856         6.24306         6.38589
857         6.24306         6.51773
858         6.24306         6.71656
859         6.24306         6.29405
860         6.24306         6.30929
861         6.24306          6.4273
862         6.24306         6.43726
863         6.24306          6.3693
864         6.24306         6.41063
865         6.24306         6.35933
866         6.24306         6.31996
867         6.24306         6.31507
868         6.24306         6.34211
869         6.24306         6.49762
870         6.24306         6.44639
871         6.24306         6.63623
872         6.24306         6.65879
873         6.24306         6.57604
874         6.24306         6.60983
875         6.24306         6.26319
876         6.24306         6.27853
877         6.24306         6.47786
878         6.24306         6.25452
879         6.24306         6.26786
880         6.24306         6.24976
881         6.24306         6.31248
882         6.24306         6.36467
883         6.24306         6.45548
884         6.24306         6.39433
885         6.24306         6.39404
886         6.24306         6.44428
887         6.24306         6.40096
888         6.24306         6.46008
889         6.24306         6.35308
890         6.24306         6.29742
891         6.24306         6.36496
892         6.24306         6.31364
893         6.24306         6.27172
894         6.24306         6.34402
895         6.24306          6.3724
896         6.24306         6.27561
897         6.24306         6.26483
898         6.24306         6.25831
899         6.24306         6.29145
900         6.24306         6.31581
901         6.24306         6.24359
902         6.24306         6.24896
903         6.24306         6.24306
904         6.24306         6.24306
905         6.24306         6.24306
906         6.24306         6.24306
907         6.24306         6.24306
908         6.24306         6.24341
909         6.24306         6.24358
910         6.24306         6.24306
911         6.24306         6.24306
912         6.24306         6.24306
913         6.24306         6.28883
914         6.24306         6.49876
915         6.24306         6.27681
916         6.24306         6.55363
917         6.24306          6.4603
918         6.24306         6.46406
919         6.24306         6.41745
920         6.24306         6.61334
921         6.24306         6.55252
922         6.24306         6.69482
923         6.24306         6.47908
924         6.24306         6.35756
925         6.24306         6.26539
926         6.24306         6.24332
927         6.24306         6.34946
928         6.24306         6.29088
929         6.24306         6.46435
930         6.24306         6.78539
931         6.24306         7.03772
932         6.24306         6.68847
933         6.24306         6.50559
934         6.24306         6.25992
935         6.24306         6.24767
936         6.24306         6.40545
937         6.24306         6.52171
938         6.24306         6.41912
939         6.24306          6.3392
940         6.24306         6.30919
941         6.24306         6.27367
942         6.24306         6.25225
943         6.24306         6.26146
944         6.24306         6.29018
945         6.24306         6.34118
946         6.24306         6.37785
947         6.24306         6.32273
948         6.24306         6.43542
949         6.24306         6.54417
950         6.24306         6.71597
951         6.24306         6.74429
952         6.24306         6.58171
953         6.24306         6.74341
954         6.24306         6.59354
955         6.24306         6.59603
956         6.24306         6.48173
957         6.24306          6.4687
958         6.24306         6.24372
959         6.24306         6.24341
960         6.24306         6.25293
961         6.24306         6.33837
962         6.24306         6.30983
963         6.24306         6.27518
964         6.24306         6.36703
965         6.24306         6.29307
966         6.24306           6.341
967         6.24306         6.42495
968         6.24306         6.36402
969         6.24306         6.33981
970         6.24306         6.54552
971         6.24306         6.52546
972         6.24306         6.66106
973         6.24306         6.59418
974         6.24306         6.52267
975         6.24306         6.42289
976         6.24306         6.35042
977         6.24306         6.28252
978         6.24306         6.34541
979         6.24306         6.29155
980         6.24306         6.36272
981         6.24306         6.41343
982         6.24306         6.38239
983         6.24306         6.58728
984         6.24306          6.6512
985         6.24306         6.80219
986         6.24306         6.49874
987         6.24306         6.40055
988         6.24306         6.29593
989         6.24306         6.35465
990         6.24306         6.27899
991         6.24306         6.24409
992         6.24306         6.25203
993         6.24306         6.24474
994         6.24306         6.25855
995         6.24306         6.24306
996         6.24306         6.29369
997         6.24306         6.35755
998         6.24306         6.38726
999         6.24306         6.35654
