# Block  acceptance
0      0.5246
1      0.5222
2      0.5413
3      0.5174
4       0.538
5      0.5295
6      0.5274
7      0.5232
8      0.5342
9       0.526
10      0.5292
11      0.5207
12      0.5352
13      0.5388
14      0.5395
15      0.5388
16      0.5262
17      0.5391
18      0.5312
19      0.5311
20      0.5404
21      0.5261
22       0.533
23      0.5252
24      0.5335
25      0.5337
26      0.5252
27      0.5366
28      0.5268
29      0.5291
30      0.5159
31      0.5327
32      0.5274
33      0.5185
34      0.5359
35        0.53
36       0.536
37      0.5301
38      0.5276
39      0.5355
40      0.5185
41      0.5304
42      0.5211
43      0.5334
44      0.5333
45      0.5309
46      0.5175
47      0.5241
48      0.5312
49      0.5441
50       0.531
51      0.5264
52      0.5212
53      0.5368
54      0.5407
55      0.5306
56       0.538
57      0.5275
58       0.519
59      0.5347
60      0.5341
61       0.535
62      0.5205
63      0.5284
64      0.5389
65      0.5248
66      0.5324
67      0.5303
68       0.525
69      0.5341
70      0.5335
71      0.5401
72      0.5294
73      0.5335
74      0.5272
75      0.5347
76      0.5214
77      0.5298
78      0.5316
79        0.53
80      0.5291
81      0.5253
82      0.5399
83      0.5221
84      0.5226
85      0.5327
86      0.5218
87      0.5288
88      0.5256
89      0.5281
90      0.5161
91      0.5435
92      0.5196
93      0.5352
94      0.5324
95      0.5146
96      0.5291
97      0.5318
98      0.5257
99      0.5311
