#          BLOCK:      ACTUAL_KE:         KE_AVE:          ERROR:
               1         1.92634         1.92634               0
               2         1.92602         1.92618     0.000110176
               3         1.92571         1.92602     0.000147408
               4          1.9254         1.92587     0.000175311
               5         1.92508         1.92571     0.000198807
               6         1.92476         1.92555     0.000219561
               7         1.92445         1.92539     0.000238355
               8         1.92413         1.92524     0.000255628
               9         1.92381         1.92508     0.000271654
              10          1.9235         1.92492     0.000286618
              11         1.92319         1.92476     0.000300649
              12         1.92288         1.92461     0.000313842
              13         1.92257         1.92445      0.00032627
              14         1.92227         1.92429     0.000337992
              15         1.92197         1.92414     0.000349052
              16         1.92168         1.92399      0.00035949
              17         1.92139         1.92383     0.000369337
              18         1.92111         1.92368      0.00037862
              19         1.92083         1.92353     0.000387365
              20         1.92055         1.92338     0.000395591
              21         1.92028         1.92323     0.000403319
              22         1.92002         1.92309     0.000410565
              23         1.91977         1.92294     0.000417348
              24         1.91952          1.9228     0.000423682
              25         1.91927         1.92266     0.000429583
              26         1.91904         1.92252     0.000435065
              27         1.91881         1.92238     0.000440144
              28         1.91859         1.92225     0.000444832
              29         1.91837         1.92211     0.000449145
              30         1.91816         1.92198     0.000453096
              31         1.91796         1.92185       0.0004567
              32         1.91776         1.92172     0.000459971
              33         1.91757          1.9216     0.000462922
              34         1.91739         1.92147     0.000465569
              35         1.91721         1.92135     0.000467926
              36         1.91704         1.92123     0.000470008
              37         1.91688         1.92112     0.000471829
              38         1.91672           1.921     0.000473405
              39         1.91656         1.92089     0.000474751
              40         1.91641         1.92077     0.000475883
              41         1.91626         1.92066     0.000476817
              42         1.91612         1.92056     0.000477569
              43         1.91598         1.92045     0.000478155
              44         1.91585         1.92034     0.000478592
              45         1.91571         1.92024     0.000478897
              46         1.91558         1.92014     0.000479089
              47         1.91545         1.92004     0.000479184
              48         1.91532         1.91994     0.000479203
              49         1.91518         1.91985     0.000479163
              50         1.91505         1.91975     0.000479084
              51         1.91491         1.91965     0.000478987
              52         1.91477         1.91956     0.000478893
              53         1.91463         1.91947     0.000478823
              54         1.91447         1.91938     0.000478802
              55         1.91432         1.91928     0.000478852
              56         1.91415         1.91919     0.000478999
              57         1.91397          1.9191      0.00047927
              58         1.91378         1.91901     0.000479693
              59         1.91358         1.91892     0.000480298
              60         1.91337         1.91882     0.000481118
              61         1.91313         1.91873     0.000482186
              62         1.91288         1.91864      0.00048354
              63         1.91261         1.91854     0.000485219
              64         1.91232         1.91844     0.000487265
              65         1.91201         1.91834     0.000489725
              66         1.91167         1.91824     0.000492647
              67          1.9113         1.91814     0.000496084
              68          1.9109         1.91803     0.000500093
              69         1.91046         1.91792     0.000504734
              70            1.91         1.91781      0.00051007
              71         1.90949         1.91769     0.000516169
              72         1.90895         1.91757     0.000523103
              73         1.90836         1.91745     0.000530944
              74         1.90773         1.91731     0.000539769
              75         1.90705         1.91718     0.000549655
              76         1.90632         1.91703      0.00056068
              77         1.90554         1.91688     0.000572922
              78         1.90471         1.91673     0.000586458
              79         1.90382         1.91657      0.00060136
              80         1.90288         1.91639     0.000617698
              81         1.90188         1.91622     0.000635536
              82         1.90082         1.91603      0.00065493
              83          1.8997         1.91583     0.000675928
              84         1.89853         1.91562     0.000698568
              85         1.89729         1.91541     0.000722877
              86           1.896         1.91518      0.00074887
              87         1.89466         1.91495     0.000776546
              88         1.89326          1.9147     0.000805892
              89         1.89181         1.91444     0.000836878
              90         1.89032         1.91418     0.000869459
              91         1.88878          1.9139      0.00090357
              92         1.88722         1.91361     0.000939132
              93         1.88562         1.91331     0.000976047
              94         1.88401         1.91299       0.0010142
              95         1.88239         1.91267      0.00105345
              96         1.88076         1.91234      0.00109366
              97         1.87915           1.912      0.00113465
              98         1.87755         1.91165      0.00117625
              99         1.87599         1.91129      0.00121826
             100         1.87447         1.91092      0.00126048
             101         1.87301         1.91054      0.00130269
             102         1.87161         1.91016      0.00134467
             103         1.87029         1.90977       0.0013862
             104         1.86907         1.90938      0.00142706
             105         1.86795         1.90899      0.00146701
             106         1.86694         1.90859      0.00150586
             107         1.86605         1.90819      0.00154339
             108         1.86528          1.9078      0.00157941
             109         1.86466          1.9074      0.00161374
             110         1.86417         1.90701      0.00164624
             111         1.86382         1.90662      0.00167675
             112         1.86361         1.90623      0.00170518
             113         1.86355         1.90586      0.00173142
             114         1.86362         1.90549      0.00175542
             115         1.86383         1.90512      0.00177713
             116         1.86417         1.90477      0.00179653
             117         1.86463         1.90443      0.00181365
             118          1.8652         1.90409       0.0018285
             119         1.86587         1.90377      0.00184113
             120         1.86663         1.90346      0.00185162
             121         1.86748         1.90317      0.00186005
             122          1.8684         1.90288       0.0018665
             123         1.86938         1.90261       0.0018711
             124         1.87041         1.90235      0.00187394
             125         1.87147          1.9021      0.00187516
             126         1.87257         1.90187      0.00187487
             127         1.87369         1.90165      0.00187319
             128         1.87481         1.90144      0.00187025
             129         1.87594         1.90124      0.00186616
             130         1.87707         1.90105      0.00186105
             131         1.87818         1.90088      0.00185502
             132         1.87928         1.90071      0.00184817
             133         1.88036         1.90056       0.0018406
             134         1.88141         1.90042       0.0018324
             135         1.88244         1.90029      0.00182366
             136         1.88344         1.90016      0.00181445
             137         1.88441         1.90005      0.00180485
             138         1.88534         1.89994      0.00179492
             139         1.88625         1.89984       0.0017847
             140         1.88712         1.89975      0.00177427
             141         1.88796         1.89967      0.00176366
             142         1.88876         1.89959      0.00175291
             143         1.88954         1.89952      0.00174206
             144         1.89028         1.89946      0.00173114
             145           1.891          1.8994      0.00172018
             146         1.89169         1.89934      0.00170921
             147         1.89235          1.8993      0.00169825
             148         1.89298         1.89925      0.00168731
             149         1.89359         1.89922      0.00167641
             150         1.89418         1.89918      0.00166557
             151         1.89474         1.89915       0.0016548
             152         1.89528         1.89913      0.00164411
             153         1.89579         1.89911      0.00163351
             154         1.89629         1.89909      0.00162301
             155         1.89676         1.89907       0.0016126
             156         1.89721         1.89906      0.00160231
             157         1.89764         1.89905      0.00159213
             158         1.89805         1.89905      0.00158207
             159         1.89844         1.89904      0.00157212
             160          1.8988         1.89904       0.0015623
             161         1.89915         1.89904      0.00155259
             162         1.89948         1.89904      0.00154301
             163         1.89978         1.89905      0.00153355
             164         1.90007         1.89905      0.00152421
             165         1.90033         1.89906        0.001515
             166         1.90058         1.89907       0.0015059
             167          1.9008         1.89908      0.00149691
             168           1.901         1.89909      0.00148805
             169         1.90119         1.89911      0.00147929
             170         1.90135         1.89912      0.00147065
             171         1.90149         1.89913      0.00146212
             172         1.90161         1.89915      0.00145369
             173         1.90171         1.89916      0.00144536
             174         1.90179         1.89918      0.00143713
             175         1.90186         1.89919        0.001429
             176         1.90191         1.89921      0.00142097
             177         1.90194         1.89922      0.00141302
             178         1.90195         1.89924      0.00140517
             179         1.90195         1.89925       0.0013974
             180         1.90194         1.89927      0.00138971
             181         1.90191         1.89928      0.00138211
             182         1.90187          1.8993      0.00137459
             183         1.90182         1.89931      0.00136715
             184         1.90177         1.89932      0.00135978
             185          1.9017         1.89934       0.0013525
             186         1.90163         1.89935      0.00134528
             187         1.90156         1.89936      0.00133814
             188         1.90148         1.89937      0.00133107
             189          1.9014         1.89938      0.00132407
             190         1.90133         1.89939      0.00131714
             191         1.90125          1.8994      0.00131028
             192         1.90118         1.89941      0.00130349
             193         1.90111         1.89942      0.00129676
             194         1.90105         1.89943      0.00129011
             195           1.901         1.89944      0.00128351
             196         1.90096         1.89945      0.00127699
             197         1.90093         1.89945      0.00127053
             198         1.90091         1.89946      0.00126413
             199          1.9009         1.89947       0.0012578
             200         1.90091         1.89948      0.00125153
             201         1.90093         1.89948      0.00124533
             202         1.90097         1.89949      0.00123919
             203         1.90103          1.8995       0.0012331
             204          1.9011         1.89951      0.00122708
             205          1.9012         1.89951      0.00122113
             206         1.90131         1.89952      0.00121523
             207         1.90144         1.89953      0.00120939
             208         1.90158         1.89954      0.00120362
             209         1.90175         1.89955      0.00119791
             210         1.90193         1.89956      0.00119226
             211         1.90214         1.89958      0.00118667
             212         1.90236         1.89959      0.00118114
             213         1.90259          1.8996      0.00117568
             214         1.90285         1.89962      0.00117029
             215         1.90312         1.89963      0.00116496
             216          1.9034         1.89965      0.00115969
             217          1.9037         1.89967       0.0011545
             218         1.90401         1.89969      0.00114938
             219         1.90433         1.89971      0.00114432
             220         1.90467         1.89973      0.00113934
             221         1.90501         1.89976      0.00113444
             222         1.90537         1.89978      0.00112961
             223         1.90573         1.89981      0.00112486
             224          1.9061         1.89984      0.00112019
             225         1.90647         1.89987       0.0011156
             226         1.90685          1.8999      0.00111109
             227         1.90723         1.89993      0.00110666
             228         1.90762         1.89996      0.00110232
             229         1.90801             1.9      0.00109807
             230          1.9084         1.90004       0.0010939
             231         1.90879         1.90007      0.00108982
             232         1.90917         1.90011      0.00108583
             233         1.90956         1.90015      0.00108193
             234         1.90994          1.9002      0.00107811
             235         1.91033         1.90024      0.00107438
             236          1.9107         1.90028      0.00107075
             237         1.91108         1.90033       0.0010672
             238         1.91144         1.90037      0.00106373
             239         1.91181         1.90042      0.00106036
             240         1.91216         1.90047      0.00105707
             241         1.91251         1.90052      0.00105386
             242         1.91286         1.90057      0.00105074
             243          1.9132         1.90062       0.0010477
             244         1.91353         1.90068      0.00104474
             245         1.91385         1.90073      0.00104186
             246         1.91417         1.90079      0.00103905
             247         1.91448         1.90084      0.00103632
             248         1.91478          1.9009      0.00103367
             249         1.91507         1.90095      0.00103108
             250         1.91536         1.90101      0.00102857
             251         1.91564         1.90107      0.00102612
             252         1.91591         1.90113      0.00102373
             253         1.91617         1.90119      0.00102141
             254         1.91643         1.90125      0.00101915
             255         1.91667         1.90131      0.00101695
             256         1.91692         1.90137       0.0010148
             257         1.91715         1.90143      0.00101271
             258         1.91738         1.90149      0.00101066
             259          1.9176         1.90156      0.00100867
             260         1.91781         1.90162      0.00100673
             261         1.91802         1.90168      0.00100483
             262         1.91822         1.90174      0.00100298
             263         1.91841         1.90181      0.00100116
             264          1.9186         1.90187     0.000999388
             265         1.91878         1.90193     0.000997651
             266         1.91896           1.902      0.00099595
             267         1.91913         1.90206     0.000994284
             268         1.91929         1.90213      0.00099265
             269         1.91945         1.90219     0.000991046
