#          BLOCK:       ACTUAL_T:          T_AVE:          ERROR:
             146         1.26113         1.26623      0.00113947
             147         1.26157          1.2662      0.00113216
             148         1.26199         1.26617      0.00112487
             149          1.2624         1.26614      0.00111761
             150         1.26279         1.26612      0.00111038
             151         1.26316          1.2661       0.0011032
             152         1.26352         1.26609      0.00109607
             153         1.26386         1.26607      0.00108901
             154         1.26419         1.26606        0.001082
             155          1.2645         1.26605      0.00107507
             156         1.26481         1.26604      0.00106821
             157         1.26509         1.26603      0.00106142
             158         1.26537         1.26603      0.00105471
             159         1.26562         1.26603      0.00104808
             160         1.26587         1.26603      0.00104153
             161          1.2661         1.26603      0.00103506
             162         1.26632         1.26603      0.00102867
             163         1.26652         1.26603      0.00102237
             164         1.26671         1.26604      0.00101614
             165         1.26689         1.26604         0.00101
             166         1.26705         1.26605      0.00100393
             167          1.2672         1.26605     0.000997943
             168         1.26734         1.26606     0.000992032
             169         1.26746         1.26607     0.000986196
             170         1.26756         1.26608     0.000980434
             171         1.26766         1.26609     0.000974744
             172         1.26774          1.2661     0.000969124
             173         1.26781         1.26611     0.000963573
             174         1.26786         1.26612     0.000958088
             175         1.26791         1.26613     0.000952668
             176         1.26794         1.26614      0.00094731
             177         1.26796         1.26615     0.000942014
             178         1.26797         1.26616     0.000936777
             179         1.26797         1.26617     0.000931598
             180         1.26796         1.26618     0.000926476
             181         1.26794         1.26619     0.000921408
             182         1.26791          1.2662     0.000916394
             183         1.26788         1.26621     0.000911433
             184         1.26784         1.26622     0.000906523
             185          1.2678         1.26622     0.000901663
             186         1.26776         1.26623     0.000896853
             187         1.26771         1.26624     0.000892092
             188         1.26765         1.26625     0.000887378
             189          1.2676         1.26626     0.000882712
             190         1.26755         1.26626     0.000878093
             191          1.2675         1.26627     0.000873519
             192         1.26745         1.26628     0.000868991
             193         1.26741         1.26628     0.000864509
             194         1.26737         1.26629      0.00086007
             195         1.26733         1.26629     0.000855677
             196          1.2673          1.2663     0.000851326
             197         1.26728          1.2663      0.00084702
             198         1.26727         1.26631     0.000842756
             199         1.26727         1.26631     0.000838535
             200         1.26727         1.26632     0.000834356
             201         1.26729         1.26632     0.000830219
             202         1.26732         1.26633     0.000826123
             203         1.26735         1.26633     0.000822069
             204          1.2674         1.26634     0.000818056
             205         1.26746         1.26634     0.000814084
             206         1.26754         1.26635     0.000810153
             207         1.26762         1.26635     0.000806263
             208         1.26772         1.26636     0.000802413
             209         1.26783         1.26637     0.000798605
             210         1.26796         1.26638     0.000794838
             211         1.26809         1.26638     0.000791113
             212         1.26824         1.26639     0.000787429
             213          1.2684          1.2664     0.000783789
             214         1.26856         1.26641     0.000780191
             215         1.26874         1.26642     0.000776638
             216         1.26893         1.26643     0.000773129
             217         1.26913         1.26645     0.000769666
             218         1.26934         1.26646      0.00076625
             219         1.26955         1.26647     0.000762881
             220         1.26978         1.26649     0.000759562
             221         1.27001         1.26651     0.000756292
             222         1.27024         1.26652     0.000753072
             223         1.27048         1.26654     0.000749905
             224         1.27073         1.26656     0.000746791
             225         1.27098         1.26658      0.00074373
             226         1.27123          1.2666     0.000740725
             227         1.27149         1.26662     0.000737775
             228         1.27175         1.26664     0.000734881
             229         1.27201         1.26667     0.000732045
             230         1.27226         1.26669     0.000729267
             231         1.27252         1.26672     0.000726547
             232         1.27278         1.26674     0.000723886
             233         1.27304         1.26677     0.000721284
             234          1.2733          1.2668      0.00071874
             235         1.27355         1.26683     0.000716256
             236          1.2738         1.26686     0.000713831
             237         1.27405         1.26689     0.000711464
             238          1.2743         1.26692     0.000709156
             239         1.27454         1.26695     0.000706905
             240         1.27478         1.26698     0.000704712
             241         1.27501         1.26701     0.000702575
             242         1.27524         1.26705     0.000700493
             243         1.27546         1.26708     0.000698466
             244         1.27568         1.26712     0.000696492
             245          1.2759         1.26715     0.000694571
             246         1.27611         1.26719     0.000692702
             247         1.27632         1.26723     0.000690882
             248         1.27652         1.26726     0.000689111
             249         1.27671          1.2673     0.000687388
             250          1.2769         1.26734      0.00068571
             251         1.27709         1.26738     0.000684078
             252         1.27727         1.26742     0.000682488
             253         1.27745         1.26746      0.00068094
             254         1.27762          1.2675     0.000679433
             255         1.27778         1.26754     0.000677964
             256         1.27794         1.26758     0.000676533
             257          1.2781         1.26762     0.000675137
             258         1.27825         1.26766     0.000673777
             259          1.2784          1.2677     0.000672449
             260         1.27854         1.26775     0.000671153
             261         1.27868         1.26779     0.000669887
             262         1.27881         1.26783      0.00066865
             263         1.27894         1.26787     0.000667441
             264         1.27907         1.26791     0.000666258
             265         1.27919         1.26796     0.000665101
             266          1.2793           1.268     0.000663967
             267         1.27942         1.26804     0.000662856
             268         1.27953         1.26808     0.000661766
             269         1.27963         1.26813     0.000660697
             270         1.27974         1.26817     0.000659648
             271         1.27983         1.26821     0.000658616
             272         1.27993         1.26826     0.000657602
             273         1.28002          1.2683     0.000656605
             274         1.28011         1.26834     0.000655622
             275          1.2802         1.26839     0.000654655
             276         1.28028         1.26843     0.000653701
             277         1.28037         1.26847     0.000652759
             278         1.28044         1.26852      0.00065183
             279         1.28052         1.26856     0.000650912
             280         1.28059          1.2686     0.000650005
             281         1.28066         1.26864     0.000649108
             282         1.28073         1.26869     0.000648219
             283          1.2808         1.26873      0.00064734
             284         1.28086         1.26877     0.000646468
             285         1.28092         1.26882     0.000645603
             286         1.28098         1.26886     0.000644745
             287         1.28104          1.2689     0.000643894
             288         1.28109         1.26894     0.000643048
             289         1.28114         1.26898     0.000642207
             290         1.28119         1.26903     0.000641371
             291         1.28124         1.26907     0.000640539
             292         1.28129         1.26911     0.000639711
             293         1.28133         1.26915     0.000638887
             294         1.28138         1.26919     0.000638065
             295         1.28142         1.26924     0.000637246
             296         1.28146         1.26928     0.000636429
             297         1.28149         1.26932     0.000635614
             298         1.28153         1.26936     0.000634801
             299         1.28156          1.2694     0.000633989
             300          1.2816         1.26944     0.000633178
             301         1.28163         1.26948     0.000632368
             302         1.28166         1.26952     0.000631558
             303         1.28168         1.26956     0.000630748
             304         1.28171          1.2696     0.000629938
             305         1.28174         1.26964     0.000629128
             306         1.28176         1.26968     0.000628317
             307         1.28178         1.26972     0.000627506
             308          1.2818         1.26976     0.000626693
             309         1.28182          1.2698     0.000625879
             310         1.28184         1.26984     0.000625063
             311         1.28185         1.26988     0.000624246
             312         1.28187         1.26991     0.000623427
             313         1.28188         1.26995     0.000622606
             314         1.28189         1.26999     0.000621782
             315          1.2819         1.27003     0.000620956
             316          1.2819         1.27007     0.000620128
             317         1.28191          1.2701     0.000619296
             318         1.28191         1.27014     0.000618461
             319         1.28191         1.27018     0.000617622
             320         1.28191         1.27021     0.000616779
             321         1.28191         1.27025     0.000615933
             322          1.2819         1.27029     0.000615082
             323         1.28189         1.27032     0.000614226
             324         1.28188         1.27036     0.000613365
             325         1.28186         1.27039     0.000612499
             326         1.28185         1.27043     0.000611626
             327         1.28182         1.27046     0.000610748
             328          1.2818          1.2705     0.000609862
             329         1.28176         1.27053     0.000608969
             330         1.28173         1.27057     0.000608068
             331         1.28169          1.2706     0.000607158
             332         1.28164         1.27063      0.00060624
             333         1.28159         1.27067     0.000605311
             334         1.28153          1.2707     0.000604371
             335         1.28146         1.27073      0.00060342
             336         1.28139         1.27076     0.000602457
             337          1.2813         1.27079     0.000601481
             338         1.28121         1.27082     0.000600491
             339         1.28111         1.27085     0.000599486
             340           1.281         1.27088     0.000598465
             341         1.28088         1.27091     0.000597427
             342         1.28074         1.27094     0.000596371
             343          1.2806         1.27097     0.000595296
             344         1.28044           1.271     0.000594202
             345         1.28027         1.27103     0.000593087
             346         1.28008         1.27105     0.000591949
             347         1.27987         1.27108     0.000590789
             348         1.27965          1.2711     0.000589605
             349         1.27942         1.27113     0.000588397
             350         1.27916         1.27115     0.000587164
             351         1.27888         1.27117     0.000585904
             352         1.27859         1.27119     0.000584619
             353         1.27827         1.27121     0.000583307
             354         1.27793         1.27123     0.000581968
             355         1.27757         1.27125     0.000580603
             356         1.27718         1.27126     0.000579211
             357         1.27677         1.27128     0.000577794
             358         1.27634         1.27129     0.000576353
             359         1.27587         1.27131     0.000574888
             360         1.27538         1.27132     0.000573403
             361         1.27486         1.27133     0.000571898
             362         1.27431         1.27134     0.000570378
             363         1.27373         1.27134     0.000568845
             364         1.27312         1.27135     0.000567303
             365         1.27248         1.27135     0.000565757
             366         1.27181         1.27135     0.000564213
             367         1.27111         1.27135     0.000562676
             368         1.27037         1.27135     0.000561153
             369          1.2696         1.27134     0.000559652
             370          1.2688         1.27134     0.000558182
             371         1.26796         1.27133     0.000556752
             372         1.26709         1.27132     0.000555371
             373         1.26619          1.2713     0.000554053
             374         1.26526         1.27129     0.000552807
             375         1.26429         1.27127     0.000551648
             376         1.26329         1.27125     0.000550589
             377         1.26226         1.27122     0.000549644
             378          1.2612          1.2712      0.00054883
             379         1.26011         1.27117     0.000548161
             380         1.25899         1.27114     0.000547655
             381         1.25784          1.2711     0.000547329
             382         1.25666         1.27106     0.000547199
             383         1.25547         1.27102     0.000547284
             384         1.25424         1.27098       0.0005476
             385           1.253         1.27093     0.000548165
             386         1.25174         1.27088     0.000548996
             387         1.25046         1.27083     0.000550108
             388         1.24916         1.27077     0.000551516
             389         1.24786         1.27071     0.000553236
             390         1.24654         1.27065     0.000555279
             391         1.24522         1.27059     0.000557656
             392         1.24389         1.27052     0.000560376
             393         1.24256         1.27045     0.000563447
             394         1.24124         1.27037     0.000566873
             395         1.23992          1.2703     0.000570655
             396         1.23862         1.27022     0.000574794
             397         1.23733         1.27013     0.000579285
             398         1.23606         1.27005     0.000584121
             399         1.23482         1.26996     0.000589294
             400          1.2336         1.26987      0.00059479
             401         1.23242         1.26978     0.000600592
             402         1.23129         1.26968     0.000606682
             403          1.2302         1.26958     0.000613036
             404         1.22916         1.26948      0.00061963
             405         1.22818         1.26938     0.000626434
             406         1.22728         1.26928     0.000633417
             407         1.22644         1.26917     0.000640546
             408         1.22568         1.26906     0.000647783
             409         1.22501         1.26896     0.000655092
             410         1.22444         1.26885     0.000662433
             411         1.22396         1.26874     0.000669765
             412         1.22359         1.26863     0.000677046
             413         1.22332         1.26852     0.000684236
             414         1.22318         1.26841     0.000691293
             415         1.22315          1.2683     0.000698176
             416         1.22325         1.26819     0.000704847
             417         1.22347         1.26809     0.000711268
             418         1.22382         1.26798     0.000717405
             419          1.2243         1.26788     0.000723227
             420         1.22491         1.26777     0.000728704
             421         1.22564         1.26767     0.000733813
             422          1.2265         1.26758     0.000738533
             423         1.22747         1.26748     0.000742848
             424         1.22856         1.26739     0.000746746
             425         1.22976          1.2673      0.00075022
             426         1.23106         1.26722     0.000753268
             427         1.23245         1.26713     0.000755892
             428         1.23393         1.26706     0.000758097
             429         1.23548         1.26698     0.000759894
             430         1.23711         1.26691     0.000761297
             431         1.23879         1.26685     0.000762323
             432         1.24052         1.26679     0.000762991
             433         1.24229         1.26673     0.000763324
             434         1.24409         1.26668     0.000763347
             435          1.2459         1.26663     0.000763084
             436         1.24774         1.26659     0.000762563
             437         1.24957         1.26655     0.000761812
             438          1.2514         1.26651     0.000760857
             439         1.25322         1.26648     0.000759726
             440         1.25502         1.26646     0.000758446
             441          1.2568         1.26644     0.000757042
             442         1.25854         1.26642      0.00075554
             443         1.26025          1.2664     0.000753963
             444         1.26192         1.26639     0.000752333
             445         1.26354         1.26639     0.000750669
             446         1.26512         1.26638     0.000748991
             447         1.26665         1.26638     0.000747316
             448         1.26813         1.26639     0.000745658
             449         1.26955          1.2664     0.000744031
             450         1.27092         1.26641     0.000742445
             451         1.27223         1.26642     0.000740911
             452         1.27348         1.26643     0.000739436
             453         1.27468         1.26645     0.000738028
             454         1.27581         1.26647      0.00073669
             455         1.27689          1.2665     0.000735427
             456         1.27792         1.26652      0.00073424
             457         1.27888         1.26655     0.000733132
             458         1.27979         1.26658     0.000732101
             459         1.28065         1.26661     0.000731147
             460         1.28145         1.26664     0.000730269
             461         1.28219         1.26667     0.000729464
             462         1.28289         1.26671     0.000728729
             463         1.28353         1.26675     0.000728061
             464         1.28413         1.26678     0.000727455
             465         1.28468         1.26682     0.000726908
             466         1.28518         1.26686     0.000726415
             467         1.28564          1.2669     0.000725971
             468         1.28605         1.26694     0.000725572
             469         1.28643         1.26698     0.000725214
             470         1.28676         1.26703      0.00072489
             471         1.28706         1.26707     0.000724598
             472         1.28732         1.26711     0.000724331
             473         1.28754         1.26715     0.000724087
             474         1.28774          1.2672      0.00072386
             475          1.2879         1.26724     0.000723648
             476         1.28804         1.26728     0.000723446
             477         1.28815         1.26733     0.000723251
             478         1.28824         1.26737      0.00072306
             479         1.28831         1.26742     0.000722871
             480         1.28836         1.26746      0.00072268
             481         1.28839          1.2675     0.000722487
             482         1.28841         1.26755     0.000722289
             483         1.28841         1.26759     0.000722084
             484          1.2884         1.26763     0.000721871
             485         1.28839         1.26768     0.000721651
             486         1.28837         1.26772     0.000721421
             487         1.28834         1.26776     0.000721182
             488         1.28832          1.2678     0.000720933
             489         1.28829         1.26784     0.000720675
             490         1.28826         1.26789     0.000720408
             491         1.28824         1.26793     0.000720133
             492         1.28822         1.26797      0.00071985
             493         1.28821         1.26801      0.00071956
             494         1.28821         1.26805     0.000719264
             495         1.28822         1.26809     0.000718964
             496         1.28823         1.26813      0.00071866
             497         1.28826         1.26817     0.000718354
             498          1.2883         1.26821     0.000718047
             499         1.28835         1.26825     0.000717741
             500         1.28841         1.26829     0.000717437
             501         1.28849         1.26833     0.000717136
             502         1.28858         1.26837     0.000716841
             503         1.28868         1.26841     0.000716551
             504          1.2888         1.26845      0.00071627
             505         1.28892          1.2685     0.000715997
             506         1.28906         1.26854     0.000715735
             507         1.28921         1.26858     0.000715484
             508         1.28937         1.26862     0.000715246
             509         1.28954         1.26866     0.000715021
             510         1.28972          1.2687     0.000714811
             511         1.28991         1.26874     0.000714616
             512          1.2901         1.26878     0.000714437
             513          1.2903         1.26883     0.000714274
             514          1.2905         1.26887     0.000714129
             515         1.29071         1.26891        0.000714
             516         1.29091         1.26895     0.000713889
             517         1.29112           1.269     0.000713795
             518         1.29133         1.26904     0.000713718
             519         1.29154         1.26908     0.000713658
             520         1.29174         1.26913     0.000713614
             521         1.29194         1.26917     0.000713587
             522         1.29214         1.26921     0.000713575
             523         1.29233         1.26926     0.000713578
             524         1.29251          1.2693     0.000713595
             525         1.29269         1.26935     0.000713624
             526         1.29286         1.26939     0.000713666
             527         1.29302         1.26944     0.000713719
             528         1.29317         1.26948     0.000713782
             529         1.29332         1.26953     0.000713854
             530         1.29345         1.26957     0.000713933
             531         1.29358         1.26962     0.000714019
             532          1.2937         1.26966      0.00071411
             533          1.2938         1.26971     0.000714206
             534          1.2939         1.26975     0.000714304
             535         1.29399          1.2698     0.000714404
             536         1.29407         1.26984     0.000714505
             537         1.29414         1.26989     0.000714605
             538          1.2942         1.26993     0.000714704
             539         1.29425         1.26998       0.0007148
             540         1.29429         1.27002     0.000714893
             541         1.29432         1.27007     0.000714981
             542         1.29435         1.27011     0.000715064
             543         1.29437         1.27016     0.000715141
             544         1.29438          1.2702     0.000715211
             545         1.29438         1.27025     0.000715273
             546         1.29438         1.27029     0.000715327
             547         1.29437         1.27033     0.000715373
             548         1.29435         1.27038     0.000715409
             549         1.29433         1.27042     0.000715435
             550         1.29431         1.27047     0.000715451
             551         1.29428         1.27051     0.000715457
             552         1.29424         1.27055     0.000715451
             553          1.2942         1.27059     0.000715434
             554         1.29416         1.27064     0.000715406
             555         1.29411         1.27068     0.000715366
             556         1.29406         1.27072     0.000715314
             557           1.294         1.27076      0.00071525
             558         1.29394          1.2708     0.000715173
             559         1.29388         1.27085     0.000715084
             560         1.29381         1.27089     0.000714983
             561         1.29375         1.27093     0.000714868
             562         1.29367         1.27097     0.000714741
             563          1.2936         1.27101       0.0007146
             564         1.29352         1.27105     0.000714447
             565         1.29343         1.27109      0.00071428
             566         1.29334         1.27113     0.000714099
             567         1.29325         1.27117     0.000713905
             568         1.29316         1.27121     0.000713698
             569         1.29306         1.27124     0.000713476
             570         1.29296         1.27128      0.00071324
             571         1.29285         1.27132     0.000712991
             572         1.29274         1.27136     0.000712727
             573         1.29262         1.27139     0.000712449
             574         1.29251         1.27143     0.000712157
             575         1.29239         1.27147      0.00071185
             576         1.29226          1.2715     0.000711529
             577         1.29213         1.27154     0.000711193
             578         1.29201         1.27157     0.000710844
             579         1.29187         1.27161      0.00071048
             580         1.29174         1.27164     0.000710103
             581         1.29161         1.27168     0.000709712
             582         1.29148         1.27171     0.000709307
             583         1.29135         1.27175      0.00070889
             584         1.29122         1.27178      0.00070846
             585          1.2911         1.27181     0.000708018
             586         1.29098         1.27185     0.000707565
             587         1.29087         1.27188     0.000707102
             588         1.29077         1.27191     0.000706629
             589         1.29067         1.27194     0.000706146
             590         1.29059         1.27197     0.000705656
             591         1.29051           1.272     0.000705159
             592         1.29046         1.27204     0.000704657
             593         1.29041         1.27207     0.000704149
             594         1.29039          1.2721     0.000703639
             595         1.29038         1.27213     0.000703127
             596         1.29039         1.27216     0.000702614
             597         1.29042         1.27219     0.000702103
             598         1.29048         1.27222     0.000701595
             599         1.29055         1.27225     0.000701091
             600         1.29065         1.27228     0.000700593
             601         1.29078         1.27231     0.000700103
             602         1.29093         1.27234     0.000699623
             603         1.29111         1.27237     0.000699154
             604         1.29131         1.27241     0.000698699
             605         1.29154         1.27244      0.00069826
             606         1.29179         1.27247     0.000697837
             607         1.29207          1.2725     0.000697434
             608         1.29237         1.27253     0.000697052
             609          1.2927         1.27257     0.000696694
             610         1.29305          1.2726      0.00069636
             611         1.29341         1.27264     0.000696053
             612          1.2938         1.27267     0.000695774
             613         1.29421          1.2727     0.000695526
             614         1.29463         1.27274     0.000695309
             615         1.29506         1.27278     0.000695125
             616         1.29551         1.27281     0.000694976
