#          BLOCK:      ACTUAL_TE:         TE_AVE:          ERROR:
               1         1.59714         1.59714               0
               2         1.59715         1.59714     1.61105e-06
               3         1.59715         1.59714     1.15238e-06
               4         1.59715         1.59715     9.75258e-07
               5         1.59715         1.59715     1.44552e-06
               6         1.59715         1.59715     1.28999e-06
               7         1.59715         1.59715     1.24583e-06
               8         1.59715         1.59715     1.13322e-06
               9         1.59715         1.59715      1.0103e-06
              10         1.59715         1.59715     9.62343e-07
              11         1.59715         1.59715     9.07849e-07
              12         1.59715         1.59715     8.33022e-07
              13         1.59714         1.59715     8.19928e-07
              14         1.59714         1.59715     9.15508e-07
              15         1.59714         1.59715     1.02204e-06
              16         1.59713         1.59715     1.32335e-06
              17         1.59713         1.59715     1.65373e-06
              18         1.59712         1.59714     2.00117e-06
              19         1.59712         1.59714     2.35894e-06
              20         1.59711         1.59714     2.65895e-06
              21          1.5971         1.59714     3.04209e-06
              22         1.59711         1.59714      3.2657e-06
              23          1.5971         1.59714      3.4811e-06
              24          1.5971         1.59713     3.73318e-06
              25         1.59709         1.59713     4.01157e-06
              26         1.59709         1.59713     4.23136e-06
              27         1.59708         1.59713     4.51445e-06
              28         1.59707         1.59713     4.84481e-06
              29         1.59706         1.59712     5.13967e-06
              30         1.59706         1.59712     5.43704e-06
              31         1.59705         1.59712     5.70379e-06
              32         1.59704         1.59712     6.02894e-06
              33         1.59704         1.59712      6.3414e-06
              34         1.59703         1.59711     6.66629e-06
              35         1.59702         1.59711     6.99692e-06
              36         1.59701         1.59711     7.32781e-06
              37           1.597          1.5971     7.63172e-06
              38           1.597          1.5971     7.88923e-06
              39           1.597          1.5971     8.14526e-06
              40           1.597          1.5971     8.32288e-06
              41         1.59699         1.59709     8.50158e-06
              42         1.59699         1.59709     8.66109e-06
              43         1.59698         1.59709       8.816e-06
              44         1.59698         1.59709     8.94844e-06
              45         1.59698         1.59708     9.05815e-06
              46         1.59698         1.59708     9.13246e-06
              47         1.59698         1.59708     9.18535e-06
              48         1.59698         1.59708     9.20598e-06
              49         1.59699         1.59708     9.18741e-06
              50           1.597         1.59707     9.14257e-06
              51           1.597         1.59707     9.08075e-06
              52           1.597         1.59707     9.00209e-06
              53         1.59701         1.59707     8.90715e-06
              54         1.59702         1.59707     8.79705e-06
              55         1.59703         1.59707     8.67359e-06
              56         1.59703         1.59707     8.53941e-06
              57         1.59705         1.59707     8.39815e-06
              58         1.59706         1.59707     8.25405e-06
              59         1.59707         1.59707     8.11474e-06
              60         1.59709         1.59707      7.9859e-06
