#          BLOCK:      ACTUAL_PE:         PE_AVE:          ERROR:
               1       -0.329194       -0.329194               0
               2       -0.328878       -0.329036     0.000111787
               3       -0.328565       -0.328879     0.000148307
               4       -0.328248       -0.328721     0.000176087
               5       -0.327927       -0.328562     0.000200108
               6       -0.327612       -0.328404     0.000220682
               7       -0.327294       -0.328245     0.000239466
               8       -0.326979       -0.328087       0.0002566
               9       -0.326665       -0.327929      0.00027242
              10       -0.326349       -0.327771      0.00028737
              11       -0.326038       -0.327613     0.000301363
              12       -0.325732       -0.327457     0.000314399
              13        -0.32543       -0.327301     0.000326597
              14       -0.325131       -0.327146     0.000338038
              15       -0.324835       -0.326992     0.000348852
              16       -0.324547       -0.326839     0.000358942
              17       -0.324263       -0.326687     0.000368429
              18       -0.323983       -0.326537     0.000377345
              19        -0.32371       -0.326388     0.000385716
              20       -0.323439       -0.326241      0.00039361
              21       -0.323179       -0.326095     0.000400956
              22       -0.322917       -0.325951     0.000407932
              23       -0.322665       -0.325808     0.000414458
              24       -0.322422       -0.325667     0.000420515
              25       -0.322186       -0.325527     0.000426125
              26       -0.321951        -0.32539     0.000431363
              27       -0.321731       -0.325254     0.000436155
              28       -0.321517       -0.325121     0.000440526
              29       -0.321306       -0.324989     0.000444547
              30       -0.321103        -0.32486     0.000448207
              31       -0.320905       -0.324732     0.000451542
              32        -0.32072       -0.324607     0.000454506
              33       -0.320537       -0.324483      0.00045716
              34       -0.320362       -0.324362     0.000459502
              35       -0.320194       -0.324243     0.000461551
              36       -0.320031       -0.324126     0.000463325
              37       -0.319871       -0.324011     0.000464858
              38       -0.319713       -0.323898      0.00046618
              39       -0.319566       -0.323787     0.000467275
              40       -0.319413       -0.323678     0.000468215
              41       -0.319273        -0.32357     0.000468959
              42       -0.319134       -0.323465     0.000469539
              43          -0.319       -0.323361     0.000469958
              44       -0.318866       -0.323259     0.000470249
              45       -0.318733       -0.323158     0.000470428
              46       -0.318599       -0.323059     0.000470525
              47       -0.318467       -0.322961     0.000470547
              48       -0.318332       -0.322865     0.000470523
              49       -0.318193       -0.322769      0.00047048
              50       -0.318054       -0.322675     0.000470429
              51       -0.317913       -0.322582     0.000470381
              52       -0.317767       -0.322489     0.000470359
              53       -0.317616       -0.322397     0.000470386
              54       -0.317457       -0.322306     0.000470486
              55        -0.31729       -0.322215     0.000470686
              56       -0.317113       -0.322123     0.000471013
              57       -0.316925       -0.322032     0.000471495
              58       -0.316722       -0.321941     0.000472172
              59       -0.316509       -0.321849      0.00047306
              60       -0.316279       -0.321756     0.000474195
              61        -0.31603       -0.321662     0.000475622
              62        -0.31576       -0.321567     0.000477382
              63       -0.315466        -0.32147     0.000479525
              64       -0.315156       -0.321371     0.000482075
              65       -0.314812        -0.32127     0.000485105
              66        -0.31444       -0.321167     0.000488668
              67       -0.314045       -0.321061       0.0004928
              68       -0.313613       -0.320951     0.000497576
              69       -0.313142       -0.320838     0.000503069
              70       -0.312637       -0.320721      0.00050934
              71       -0.312088       -0.320599     0.000516476
              72       -0.311503       -0.320473     0.000524526
              73       -0.310874       -0.320341     0.000533568
              74       -0.310193       -0.320204     0.000543697
              75       -0.309465       -0.320061     0.000554982
              76       -0.308684       -0.319911     0.000567508
              77       -0.307852       -0.319755     0.000581345
              78       -0.306966       -0.319591     0.000596565
              79       -0.306023       -0.319419     0.000613237
              80       -0.305025       -0.319239     0.000631415
              81       -0.303966        -0.31905     0.000651163
              82       -0.302854       -0.318853     0.000672512
              83        -0.30168       -0.318646     0.000695509
              84       -0.300444       -0.318429     0.000720196
              85       -0.299155       -0.318203     0.000746568
              86       -0.297811       -0.317965     0.000774625
              87       -0.296412       -0.317718     0.000804361
              88       -0.294965       -0.317459     0.000835745
              89       -0.293469        -0.31719     0.000868736
              90       -0.291936       -0.316909     0.000903261
              91       -0.290367       -0.316617     0.000939246
              92       -0.288773       -0.316315     0.000976582
              93        -0.28716       -0.316001      0.00101515
              94       -0.285536       -0.315677      0.00105482
              95       -0.283911       -0.315343      0.00109543
              96       -0.282293       -0.314998      0.00113683
              97       -0.280698       -0.314645      0.00117883
              98       -0.279131       -0.314282      0.00122123
              99       -0.277613       -0.313912      0.00126382
             100       -0.276146       -0.313534      0.00130639
             101       -0.274747        -0.31315      0.00134872
             102        -0.27343       -0.312761      0.00139058
             103        -0.27221       -0.312367      0.00143172
             104       -0.271088        -0.31197      0.00147195
             105       -0.270077       -0.311571      0.00151103
             106       -0.269182       -0.311171      0.00154879
             107       -0.268422       -0.310772      0.00158501
             108       -0.267787       -0.310374      0.00161954
             109       -0.267301       -0.309979      0.00165219
             110       -0.266948       -0.309588      0.00168284
             111       -0.266743       -0.309202      0.00171137
             112       -0.266679       -0.308822       0.0017377
             113       -0.266758        -0.30845      0.00176174
             114       -0.266967       -0.308086      0.00178347
             115       -0.267303       -0.307731      0.00180287
             116       -0.267759       -0.307387      0.00181997
             117       -0.268327       -0.307053      0.00183478
             118       -0.268997        -0.30673      0.00184735
             119       -0.269764        -0.30642      0.00185776
             120       -0.270614       -0.306121      0.00186609
             121       -0.271534       -0.305835      0.00187243
             122       -0.272516       -0.305562       0.0018769
             123       -0.273545       -0.305302       0.0018796
             124       -0.274615       -0.305054      0.00188066
             125       -0.275709        -0.30482      0.00188022
             126       -0.276827       -0.304598      0.00187837
             127       -0.277956       -0.304388      0.00187526
             128       -0.279086        -0.30419        0.001871
             129       -0.280213       -0.304004       0.0018657
             130       -0.281326        -0.30383      0.00185949
             131       -0.282427       -0.303666      0.00185246
             132       -0.283505       -0.303514      0.00184471
             133        -0.28456       -0.303371      0.00183634
             134       -0.285588       -0.303238      0.00182742
             135       -0.286586       -0.303115      0.00181804
             136       -0.287554       -0.303001      0.00180827
             137        -0.28849       -0.302895      0.00179817
             138       -0.289394       -0.302797       0.0017878
             139       -0.290265       -0.302707      0.00177721
             140       -0.291108       -0.302624      0.00176645
             141       -0.291915       -0.302548      0.00175555
             142       -0.292691       -0.302479      0.00174456
             143       -0.293437       -0.302415      0.00173351
             144       -0.294153       -0.302358      0.00172242
             145       -0.294839       -0.302306      0.00171132
             146       -0.295497       -0.302259      0.00170023
