0         515.909
10000         228.201
20000         225.901
30000         214.219
40000         229.124
50000         218.703
60000         232.831
70000         210.823
80000         239.234
90000         232.675
100000          217.63
110000         201.217
120000         227.007
130000         210.607
140000         214.502
150000          219.68
160000         223.851
170000         205.836
180000         226.444
190000          196.96
200000          211.16
210000         239.435
220000         239.578
230000         202.696
240000         234.138
250000         218.099
260000         209.896
270000         221.669
280000         196.146
290000         197.349
300000         199.944
310000         202.699
320000         238.144
330000         229.661
340000         238.533
350000          210.79
360000         231.848
370000          230.62
380000         200.106
390000         225.751
400000         221.293
410000         207.955
420000         220.686
430000         206.096
440000         214.843
450000         207.576
460000         219.047
470000         231.267
480000         219.108
490000         247.866
500000         235.479
510000         249.344
520000         209.636
530000         213.548
540000         191.911
550000         206.187
560000         237.944
570000         211.475
580000          217.37
590000         190.613
600000          214.79
610000         229.928
620000         231.651
630000         229.836
640000         229.986
650000         204.414
660000         222.299
670000         224.392
680000         241.179
690000         212.344
700000         189.884
710000         211.941
720000         199.082
730000         217.628
740000         203.924
750000         215.788
760000         210.638
770000         217.567
780000         207.035
790000         202.421
800000         212.941
810000         202.671
820000         223.374
830000         224.782
840000         231.692
850000         220.514
860000         213.699
870000         200.019
880000         211.686
890000         212.156
900000         213.951
910000         229.789
920000         227.956
930000         209.877
940000         253.816
950000         223.179
960000         239.316
970000         215.494
980000         208.827
990000         209.897
1000000         214.787
1010000         199.339
1020000         227.751
1030000         208.019
1040000         236.984
1050000         198.452
1060000         217.243
1070000         217.537
1080000         226.731
1090000         220.319
1100000         211.117
1110000         234.989
1120000         219.684
1130000         211.074
1140000         244.011
1150000         206.018
1160000         208.271
1170000         214.356
1180000         224.645
1190000         238.845
1200000         244.054
1210000         247.817
1220000         229.337
1230000         210.774
1240000         243.778
1250000         202.343
1260000         177.744
1270000         213.261
1280000         212.179
1290000         220.923
1300000         234.574
1310000         231.834
1320000         226.999
1330000         219.632
1340000         226.014
1350000         207.951
1360000         190.325
1370000          225.73
1380000         222.513
1390000         213.972
1400000         224.983
1410000         216.008
1420000         220.332
1430000          196.36
1440000         213.253
1450000         223.326
1460000         205.229
1470000         203.765
1480000         210.395
1490000         219.808
1500000         234.589
1510000         230.274
1520000         205.155
1530000         216.313
1540000         194.973
1550000         218.638
1560000         241.616
1570000         213.117
1580000         177.243
1590000         221.572
1600000         210.429
1610000         221.324
1620000         210.411
1630000         216.498
1640000          202.55
1650000         211.258
1660000         218.978
1670000         210.888
1680000         229.374
1690000          216.62
1700000          214.35
1710000         184.442
1720000         215.641
1730000         203.149
1740000         211.495
1750000         228.816
1760000         217.086
1770000         224.419
1780000         232.729
1790000         219.792
1800000          202.82
1810000         237.073
1820000         189.853
1830000         202.361
1840000         202.995
1850000         219.567
1860000         237.127
1870000         219.872
1880000         220.182
1890000         235.943
1900000         233.252
1910000         209.444
1920000           219.5
1930000          207.02
1940000         195.767
1950000         213.976
1960000         191.169
1970000         217.955
1980000         203.247
1990000         209.566
2000000         225.666
