# TIME:     PRICE:
0       100
1   96.1648
2   96.0729
3   93.8397
4   94.2812
5    96.216
6   90.6906
7   88.4297
8   88.3129
9   86.5144
10   90.4271
11   89.4903
12   90.7002
13   90.8629
14   88.9519
15   91.4655
16   93.4882
17   94.7561
18   97.4074
19   97.9342
20    94.322
21   95.1248
22   94.6358
23   98.6801
24   95.0453
25   95.1463
26   92.5452
27   94.2972
28   94.4516
29   90.4279
30   85.6109
31   83.5838
32   87.7018
33   85.4769
34   85.0921
35   86.4932
36    85.069
37    83.127
38     81.15
39   80.4928
40   80.8007
41   80.5448
42   85.9734
43   88.9055
44   90.0476
45   88.6352
46   87.9564
47   87.6821
48   84.0546
49   86.2354
50   89.4062
51   87.9584
52   89.9115
53   89.2584
54   90.7157
55   89.4634
56   88.0162
57   88.2071
58   89.0808
59    91.115
60   93.5973
61   91.1965
62   92.3009
63      90.1
64   90.4464
65   91.0749
66   93.6904
67   94.6859
68   95.5802
69   98.2271
70   102.868
71   98.0745
72    97.657
73   97.8835
74   95.7606
75   100.648
76   99.0237
77   99.5781
78   99.0206
79    101.98
80   102.565
81   102.923
82   104.344
83   101.417
84   103.208
85   103.759
86   103.846
87     103.5
88   104.276
89   104.039
90    106.58
91   105.851
92   106.975
93   107.391
94   108.812
95   106.792
96   106.997
97   111.291
98   114.336
99   116.022
100     119.3
