#          BLOCK:      ACTUAL_PE:         PE_AVE:          ERROR:
             151       -0.603188       -0.551658      0.00234405
             152       -0.603931       -0.552002      0.00235373
             153       -0.604672       -0.552347      0.00236338
             154       -0.605413       -0.552691      0.00237302
             155       -0.606145       -0.553036      0.00238264
             156       -0.606872       -0.553381      0.00239223
             157       -0.607598       -0.553727      0.00240179
             158       -0.608316       -0.554072      0.00241131
             159       -0.609024       -0.554418      0.00242078
             160       -0.609722       -0.554763      0.00243021
             161       -0.610413       -0.555109      0.00243957
             162        -0.61109       -0.555455      0.00244886
             163       -0.611765         -0.5558      0.00245809
             164        -0.61242       -0.556145      0.00246722
             165       -0.613061        -0.55649      0.00247627
             166       -0.613685       -0.556835       0.0024852
             167       -0.614298       -0.557179      0.00249403
             168       -0.614891       -0.557522      0.00250273
             169        -0.61547       -0.557865       0.0025113
             170       -0.616033       -0.558207      0.00251973
             171       -0.616574       -0.558549      0.00252801
             172       -0.617098       -0.558889      0.00253612
             173       -0.617601       -0.559228      0.00254407
             174       -0.618085       -0.559567      0.00255184
             175       -0.618552       -0.559904      0.00255942
             176       -0.618997        -0.56024       0.0025668
             177        -0.61942       -0.560574      0.00257399
             178       -0.619823       -0.560907      0.00258096
             179       -0.620202       -0.561238      0.00258771
             180        -0.62056       -0.561568      0.00259423
             181       -0.620887       -0.561895      0.00260052
             182        -0.62119       -0.562221      0.00260656
             183       -0.621478       -0.562545      0.00261235
             184       -0.621737       -0.562867      0.00261789
             185       -0.621972       -0.563186      0.00262316
             186       -0.622173       -0.563503      0.00262816
             187       -0.622352       -0.563818      0.00263288
             188       -0.622502        -0.56413      0.00263731
             189       -0.622626        -0.56444      0.00264145
             190       -0.622723       -0.564746       0.0026453
             191       -0.622788        -0.56505      0.00264885
             192       -0.622822       -0.565351      0.00265209
             193       -0.622826       -0.565649      0.00265502
             194       -0.622795       -0.565943      0.00265762
             195       -0.622737       -0.566235       0.0026599
             196       -0.622637       -0.566522      0.00266185
             197       -0.622508       -0.566807      0.00266347
             198       -0.622343       -0.567087      0.00266474
             199       -0.622142       -0.567364      0.00266568
             200       -0.621902       -0.567637      0.00266626
             201       -0.621625       -0.567905      0.00266649
             202        -0.62131       -0.568169      0.00266636
             203       -0.620951       -0.568429      0.00266588
             204        -0.62055       -0.568685      0.00266502
             205       -0.620106       -0.568936       0.0026638
             206       -0.619615       -0.569182      0.00266221
             207       -0.619083       -0.569423      0.00266024
             208       -0.618501       -0.569659      0.00265789
             209       -0.617873        -0.56989      0.00265517
             210        -0.61719       -0.570115      0.00265206
             211       -0.616456       -0.570334      0.00264857
             212       -0.615674       -0.570548       0.0026447
             213       -0.614838       -0.570756      0.00264044
             214       -0.613944       -0.570958       0.0026358
             215       -0.612991       -0.571154      0.00263078
             216       -0.611983       -0.571343      0.00262539
             217       -0.610917       -0.571525      0.00261961
             218       -0.609791         -0.5717      0.00261347
             219       -0.608599       -0.571869      0.00260696
             220       -0.607345        -0.57203       0.0026001
             221       -0.606029       -0.572184      0.00259288
             222        -0.60465        -0.57233      0.00258532
             223       -0.603203       -0.572469      0.00257743
             224       -0.601694       -0.572599      0.00256922
             225       -0.600123       -0.572722      0.00256072
             226       -0.598486       -0.572836      0.00255192
             227       -0.596782       -0.572941      0.00254286
             228       -0.595017       -0.573038      0.00253355
             229       -0.593187       -0.573126      0.00252401
             230       -0.591297       -0.573205      0.00251428
             231       -0.589337       -0.573275      0.00250436
             232       -0.587323       -0.573335       0.0024943
             233        -0.58526       -0.573386      0.00248412
             234       -0.583143       -0.573428      0.00247385
             235       -0.580979        -0.57346      0.00246353
             236       -0.578768       -0.573483       0.0024532
             237       -0.576517       -0.573496      0.00244288
             238        -0.57423       -0.573499      0.00243262
             239       -0.571914       -0.573492      0.00242245
             240       -0.569571       -0.573476      0.00241241
             241       -0.567218        -0.57345      0.00240254
             242       -0.564844       -0.573414      0.00239288
             243       -0.562475       -0.573369      0.00238345
             244       -0.560105       -0.573315       0.0023743
             245        -0.55775       -0.573251      0.00236546
             246       -0.555416       -0.573179      0.00235696
             247       -0.553114       -0.573097      0.00234881
             248       -0.550846       -0.573008      0.00234106
             249       -0.548628        -0.57291       0.0023337
             250       -0.546464       -0.572804      0.00232676
             251       -0.544368       -0.572691      0.00232025
             252       -0.542347        -0.57257      0.00231416
             253       -0.540406       -0.572443      0.00230851
             254       -0.538558        -0.57231      0.00230327
             255       -0.536813       -0.572171      0.00229844
             256       -0.535175       -0.572026        0.002294
             257       -0.533649       -0.571877      0.00228993
             258       -0.532244       -0.571723       0.0022862
             259       -0.530965       -0.571566      0.00228278
             260       -0.529821       -0.571405      0.00227964
             261       -0.528813       -0.571242      0.00227674
             262       -0.527951       -0.571077      0.00227404
             263       -0.527232        -0.57091       0.0022715
             264       -0.526667       -0.570743      0.00226906
             265       -0.526248       -0.570575      0.00226671
             266       -0.525976       -0.570407      0.00226438
             267       -0.525853        -0.57024      0.00226204
             268       -0.525874       -0.570075      0.00225965
             269        -0.52605       -0.569911      0.00225716
             270       -0.526368        -0.56975      0.00225456
             271       -0.526826       -0.569591       0.0022518
             272       -0.527423       -0.569436      0.00224885
             273       -0.528145       -0.569285      0.00224569
             274       -0.528995       -0.569138       0.0022423
             275       -0.529968       -0.568995      0.00223867
             276       -0.531059       -0.568858      0.00223477
             277       -0.532259       -0.568726      0.00223061
             278        -0.53356       -0.568599      0.00222617
             279       -0.534955       -0.568479      0.00222145
             280       -0.536438       -0.568364      0.00221646
             281       -0.538004       -0.568256      0.00221121
             282        -0.53965       -0.568155      0.00220569
             283        -0.54136        -0.56806      0.00219993
             284       -0.543136       -0.567972      0.00219393
             285       -0.544962       -0.567892      0.00218772
             286       -0.546842       -0.567818      0.00218131
             287        -0.54876       -0.567752      0.00217472
             288       -0.550714       -0.567693      0.00216797
             289       -0.552703       -0.567641      0.00216109
             290       -0.554716       -0.567596       0.0021541
             291       -0.556747       -0.567559      0.00214702
