#          BLOCK:      ACTUAL_KE:         KE_AVE:          ERROR:
             167         2.21058         2.15362      0.00247207
             168         2.21119         2.15396      0.00248099
             169         2.21178          2.1543      0.00248979
             170         2.21236         2.15465      0.00249845
             171         2.21292         2.15499      0.00250698
             172         2.21347         2.15533      0.00251535
             173         2.21399         2.15567      0.00252357
             174          2.2145           2.156      0.00253161
             175         2.21498         2.15634      0.00253948
             176         2.21545         2.15668      0.00254716
             177         2.21589         2.15701      0.00255464
             178         2.21631         2.15734      0.00256193
             179         2.21672         2.15768      0.00256899
             180         2.21709         2.15801      0.00257584
             181         2.21745         2.15833      0.00258246
             182         2.21778         2.15866      0.00258885
             183         2.21809         2.15899      0.00259499
             184         2.21837         2.15931      0.00260088
             185         2.21863         2.15963      0.00260651
             186         2.21886         2.15995      0.00261188
             187         2.21907         2.16026      0.00261698
             188         2.21925         2.16058       0.0026218
             189          2.2194         2.16089      0.00262634
             190         2.21952          2.1612      0.00263058
             191         2.21962          2.1615      0.00263453
             192         2.21968         2.16181      0.00263818
             193         2.21972         2.16211      0.00264152
             194         2.21972          2.1624      0.00264455
             195         2.21969          2.1627      0.00264726
             196         2.21963         2.16299      0.00264964
             197         2.21954         2.16328      0.00265169
             198         2.21941         2.16356      0.00265341
             199         2.21924         2.16384      0.00265479
             200         2.21904         2.16411      0.00265583
             201          2.2188         2.16439      0.00265652
             202         2.21853         2.16465      0.00265685
             203         2.21821         2.16492      0.00265683
             204         2.21785         2.16518      0.00265644
             205         2.21745         2.16543      0.00265569
             206           2.217         2.16568      0.00265458
             207         2.21652         2.16593      0.00265309
             208         2.21598         2.16617      0.00265122
             209          2.2154          2.1664      0.00264898
             210         2.21477         2.16664      0.00264636
             211         2.21409         2.16686      0.00264335
             212         2.21336         2.16708      0.00263997
             213         2.21257         2.16729       0.0026362
             214         2.21173          2.1675      0.00263205
             215         2.21084          2.1677      0.00262751
             216         2.20989          2.1679      0.00262259
             217         2.20888         2.16809       0.0026173
             218         2.20781         2.16827      0.00261163
             219         2.20668         2.16844      0.00260559
             220         2.20549         2.16861      0.00259918
             221         2.20424         2.16877      0.00259241
             222         2.20292         2.16893       0.0025853
             223         2.20155         2.16907      0.00257784
             224          2.2001         2.16921      0.00257005
             225         2.19859         2.16934      0.00256194
             226         2.19702         2.16947      0.00255353
             227         2.19538         2.16958      0.00254483
             228         2.19368         2.16969      0.00253586
             229         2.19191         2.16978      0.00252665
             230         2.19008         2.16987       0.0025172
             231         2.18818         2.16995      0.00250755
             232         2.18623         2.17002      0.00249773
             233         2.18422         2.17008      0.00248775
             234         2.18216         2.17013      0.00247765
             235         2.18004         2.17017      0.00246747
             236         2.17787         2.17021      0.00245723
             237         2.17566         2.17023      0.00244697
             238         2.17341         2.17024      0.00243672
             239         2.17113         2.17025      0.00242653
             240         2.16881         2.17024      0.00241643
             241         2.16647         2.17023      0.00240645
             242         2.16411          2.1702      0.00239664
             243         2.16174         2.17017      0.00238703
             244         2.15937         2.17012      0.00237766
             245         2.15701         2.17007      0.00236856
             246         2.15465         2.17001      0.00235976
             247         2.15232         2.16993      0.00235129
             248         2.15001         2.16985      0.00234318
             249         2.14775         2.16976      0.00233545
             250         2.14553         2.16967      0.00232812
             251         2.14337         2.16956       0.0023212
             252         2.14128         2.16945       0.0023147
             253         2.13925         2.16933      0.00230863
             254         2.13732         2.16921      0.00230298
             255         2.13547         2.16907      0.00229774
             256         2.13372         2.16893      0.00229291
             257         2.13209         2.16879      0.00228847
             258         2.13056         2.16864      0.00228439
             259         2.12916         2.16849      0.00228065
             260         2.12789         2.16833      0.00227722
             261         2.12675         2.16818      0.00227406
             262         2.12574         2.16801      0.00227114
             263         2.12488         2.16785      0.00226842
             264         2.12416         2.16768      0.00226585
             265         2.12359         2.16752       0.0022634
             266         2.12317         2.16735      0.00226103
             267          2.1229         2.16718      0.00225868
             268         2.12278         2.16702      0.00225632
             269          2.1228         2.16685      0.00225391
             270         2.12298         2.16669      0.00225141
             271         2.12329         2.16653      0.00224879
             272         2.12375         2.16637      0.00224602
             273         2.12434         2.16622      0.00224307
             274         2.12506         2.16607       0.0022399
             275         2.12591         2.16592      0.00223651
             276         2.12689         2.16578      0.00223288
             277         2.12798         2.16565      0.00222898
             278         2.12917         2.16551      0.00222482
             279         2.13047         2.16539      0.00222039
             280         2.13187         2.16527      0.00221569
             281         2.13336         2.16516      0.00221071
             282         2.13492         2.16505      0.00220547
             283         2.13657         2.16495      0.00219997
             284         2.13828         2.16485      0.00219423
             285         2.14005         2.16477      0.00218826
             286         2.14188         2.16469      0.00218207
             287         2.14376         2.16461      0.00217568
             288         2.14568         2.16455      0.00216912
             289         2.14763         2.16449      0.00216241
             290         2.14962         2.16444      0.00215556
             291         2.15163         2.16439       0.0021486
             292         2.15366         2.16436      0.00214155
             293         2.15571         2.16433      0.00213445
             294         2.15777         2.16431      0.00212731
             295         2.15984         2.16429      0.00212015
             296         2.16191         2.16428        0.002113
             297         2.16398         2.16428      0.00210589
             298         2.16604         2.16429      0.00209883
             299          2.1681          2.1643      0.00209185
             300         2.17014         2.16432      0.00208496
             301         2.17217         2.16435       0.0020782
             302         2.17418         2.16438      0.00207158
             303         2.17618         2.16442       0.0020651
             304         2.17815         2.16446      0.00205881
             305          2.1801         2.16451      0.00205269
             306         2.18203         2.16457      0.00204678
             307         2.18392         2.16463      0.00204109
             308         2.18578          2.1647      0.00203561
             309         2.18762         2.16478      0.00203038
             310         2.18941         2.16486      0.00202538
             311         2.19118         2.16494      0.00202064
             312          2.1929         2.16503      0.00201615
             313         2.19459         2.16513      0.00201191
             314         2.19623         2.16522      0.00200794
             315         2.19783         2.16533      0.00200424
             316         2.19939         2.16544      0.00200079
             317         2.20091         2.16555      0.00199761
             318         2.20238         2.16566      0.00199468
             319          2.2038         2.16578      0.00199201
             320         2.20518         2.16591      0.00198958
             321          2.2065         2.16603       0.0019874
             322         2.20778         2.16616      0.00198545
             323         2.20901         2.16629      0.00198373
             324         2.21019         2.16643      0.00198223
             325         2.21131         2.16657      0.00198093
             326         2.21239         2.16671      0.00197984
             327         2.21341         2.16685      0.00197893
             328         2.21439           2.167      0.00197819
             329         2.21531         2.16714      0.00197762
             330         2.21618         2.16729      0.00197721
             331           2.217         2.16744      0.00197693
             332         2.21777         2.16759      0.00197677
             333         2.21849         2.16775      0.00197674
             334         2.21915          2.1679       0.0019768
             335         2.21977         2.16806      0.00197696
             336         2.22034         2.16821      0.00197719
             337         2.22087         2.16837      0.00197748
             338         2.22134         2.16852      0.00197783
             339         2.22177         2.16868      0.00197823
             340         2.22215         2.16884      0.00197865
             341         2.22248           2.169      0.00197909
             342         2.22277         2.16915      0.00197954
             343         2.22302         2.16931      0.00197999
             344         2.22323         2.16947      0.00198043
             345         2.22339         2.16962      0.00198084
             346         2.22351         2.16978      0.00198123
             347         2.22359         2.16993      0.00198158
             348         2.22363         2.17009      0.00198189
             349         2.22363         2.17024      0.00198214
             350          2.2236         2.17039      0.00198233
             351         2.22352         2.17055      0.00198245
             352         2.22341          2.1707       0.0019825
             353         2.22327         2.17084      0.00198247
             354         2.22308         2.17099      0.00198235
             355         2.22287         2.17114      0.00198215
             356         2.22262         2.17128      0.00198185
             357         2.22233         2.17143      0.00198145
             358         2.22201         2.17157      0.00198094
             359         2.22166         2.17171      0.00198033
             360         2.22128         2.17184      0.00197961
             361         2.22086         2.17198      0.00197878
             362         2.22041         2.17211      0.00197783
             363         2.21993         2.17225      0.00197676
             364         2.21941         2.17238      0.00197558
             365         2.21887          2.1725      0.00197426
             366         2.21829         2.17263      0.00197283
             367         2.21768         2.17275      0.00197127
             368         2.21704         2.17287      0.00196958
             369         2.21637         2.17299      0.00196777
             370         2.21566          2.1731      0.00196583
             371         2.21493         2.17322      0.00196376
             372         2.21416         2.17333      0.00196157
             373         2.21337         2.17343      0.00195924
             374         2.21254         2.17354      0.00195679
             375         2.21168         2.17364      0.00195421
             376          2.2108         2.17374      0.00195151
             377         2.20988         2.17384      0.00194869
             378         2.20894         2.17393      0.00194575
             379         2.20797         2.17402      0.00194269
             380         2.20697          2.1741      0.00193951
             381         2.20595         2.17419      0.00193622
             382         2.20491         2.17427      0.00193282
             383         2.20385         2.17435      0.00192931
             384         2.20277         2.17442      0.00192571
             385         2.20167         2.17449      0.00192201
             386         2.20056         2.17456      0.00191822
             387         2.19944         2.17462      0.00191434
             388         2.19831         2.17468      0.00191038
             389         2.19719         2.17474      0.00190634
             390         2.19606          2.1748      0.00190224
             391         2.19494         2.17485      0.00189807
             392         2.19382          2.1749      0.00189384
             393         2.19272         2.17494      0.00188957
             394         2.19164         2.17498      0.00188525
             395         2.19059         2.17502      0.00188089
             396         2.18956         2.17506       0.0018765
             397         2.18857         2.17509      0.00187208
             398         2.18761         2.17513      0.00186764
             399          2.1867         2.17515      0.00186318
             400         2.18583         2.17518      0.00185872
             401         2.18502         2.17521      0.00185424
             402         2.18426         2.17523      0.00184977
             403         2.18355         2.17525      0.00184529
             404         2.18291         2.17527      0.00184082
             405         2.18232         2.17529      0.00183636
             406          2.1818          2.1753      0.00183191
             407         2.18134         2.17532      0.00182747
             408         2.18094         2.17533      0.00182304
             409          2.1806         2.17534      0.00181863
             410         2.18032         2.17535      0.00181423
             411         2.18009         2.17537      0.00180985
             412         2.17991         2.17538      0.00180549
             413         2.17978         2.17539      0.00180115
             414         2.17969          2.1754      0.00179683
             415         2.17963         2.17541      0.00179253
             416         2.17961         2.17542      0.00178825
             417          2.1796         2.17543      0.00178399
             418         2.17961         2.17544      0.00177975
             419         2.17963         2.17545      0.00177553
             420         2.17966         2.17546      0.00177133
             421         2.17967         2.17547      0.00176715
             422         2.17968         2.17548        0.001763
             423         2.17966         2.17549      0.00175886
             424         2.17962          2.1755      0.00175473
             425         2.17954         2.17551      0.00175063
