#blocchi mean_prog err_prog
1 0.996827 0
2 0.998056 0.00122957
3 0.997576 0.00085699
4 0.999566 0.00207947
5 0.999867 0.00163861
6 0.998606 0.00183806
7 0.998783 0.00156347
8 0.998351 0.00142133
9 0.998578 0.00127394
10 0.99945 0.00143451
11 0.999708 0.00132304
12 0.999614 0.00121142
13 0.999554 0.00111597
14 1.00006 0.00115006
15 0.999996 0.00107251
16 0.999187 0.00128867
17 0.999181 0.00121051
18 0.999189 0.00114131
19 0.99949 0.00112087
20 0.999445 0.0010643
21 0.999531 0.00101596
22 0.99972 0.000986973
23 0.99982 0.000948357
24 0.999494 0.000964678
25 0.999732 0.000955436
26 0.999777 0.000919026
27 0.999892 0.000891804
28 1.00011 0.00088554
29 1.00037 0.000893221
30 1.00018 0.000883747
31 1.00033 0.000868895
32 1.00039 0.000843432
33 1.00044 0.00081914
34 1.0006 0.000809251
35 1.00056 0.000786827
36 1.00043 0.000774863
37 1.00026 0.000773624
38 1.00033 0.000756466
39 1.00024 0.000742024
40 1.00022 0.000723648
41 1.00026 0.000707328
42 1.00043 0.000709427
43 1.00035 0.000696519
44 1.00028 0.000684603
45 1.00028 0.000669219
46 1.00022 0.000656937
47 1.00017 0.000644777
48 1.00005 0.000644196
49 1.00005 0.000630958
50 1.00002 0.000618869
51 0.999895 0.000620353
52 0.999825 0.000612322
53 0.999853 0.000601318
54 0.999764 0.00059674
55 0.999692 0.000590211
56 0.999605 0.000586041
57 0.999599 0.0005757
58 0.999645 0.000567598
59 0.999655 0.000557983
60 0.999686 0.000549451
61 0.999812 0.000554825
62 0.999875 0.000549448
63 0.999806 0.000545065
64 0.99973 0.000541831
65 0.999747 0.000533716
66 0.999664 0.000532133
67 0.999671 0.000524185
68 0.999666 0.000516445
69 0.99977 0.000519378
70 0.999898 0.000527607
71 0.999846 0.00052265
72 0.999827 0.000515702
73 0.999792 0.000509783
74 0.999732 0.000506435
75 0.999736 0.000499652
76 0.9997 0.000494318
77 0.99969 0.000487972
78 0.999757 0.000486408
79 0.999798 0.000481935
80 0.999829 0.000476843
81 0.9999 0.000476378
82 0.999939 0.000472105
83 0.999906 0.000467536
84 0.999937 0.000462993
85 0.999906 0.00045858
86 0.999869 0.000454732
87 0.999946 0.000456093
88 1 0.000454599
89 1 0.000449483
90 0.999972 0.000445333
91 0.999988 0.000440689
92 1.00001 0.00043647
93 1.00001 0.000431751
94 1.00006 0.000429752
95 1.00006 0.000425212
96 1.00006 0.000420803
97 1.00013 0.000421996
98 1.00012 0.000417763
99 1.00008 0.000415136
100 1.00012 0.000412325
