#          BLOCK:      ACTUAL_TE:         TE_AVE:          ERROR:
             153         1.59614         1.59646     6.35303e-05
             154         1.59614         1.59646     6.31521e-05
             155         1.59615         1.59646     6.27765e-05
             156         1.59616         1.59646     6.24033e-05
             157         1.59617         1.59645     6.20334e-05
             158         1.59617         1.59645     6.16664e-05
             159         1.59618         1.59645     6.13019e-05
             160         1.59619         1.59645     6.09398e-05
             161         1.59621         1.59645     6.05802e-05
             162         1.59622         1.59645     6.02229e-05
             163         1.59622         1.59645      5.9869e-05
             164         1.59624         1.59644     5.95176e-05
             165         1.59625         1.59644     5.91685e-05
             166         1.59627         1.59644     5.88216e-05
             167         1.59628         1.59644     5.84774e-05
             168          1.5963         1.59644     5.81355e-05
             169         1.59631         1.59644     5.77963e-05
             170         1.59633         1.59644     5.74599e-05
             171         1.59635         1.59644     5.71263e-05
             172         1.59637         1.59644     5.67956e-05
             173         1.59639         1.59644     5.64679e-05
             174         1.59641         1.59644     5.61436e-05
             175         1.59643         1.59644     5.58228e-05
             176         1.59645         1.59644     5.55057e-05
             177         1.59647         1.59644     5.51924e-05
             178         1.59649         1.59644     5.48832e-05
             179         1.59651         1.59644     5.45782e-05
             180         1.59653         1.59644     5.42777e-05
             181         1.59656         1.59644     5.39821e-05
             182         1.59659         1.59644      5.3692e-05
             183         1.59661         1.59644     5.34067e-05
             184         1.59664         1.59644      5.3127e-05
             185         1.59666         1.59644     5.28528e-05
             186         1.59669         1.59644     5.25854e-05
             187         1.59672         1.59645     5.23244e-05
             188         1.59675         1.59645     5.20706e-05
             189         1.59678         1.59645      5.1824e-05
             190          1.5968         1.59645     5.15844e-05
             191         1.59683         1.59645     5.13527e-05
             192         1.59686         1.59646     5.11293e-05
             193         1.59689         1.59646     5.09146e-05
             194         1.59693         1.59646     5.07096e-05
             195         1.59696         1.59646     5.05137e-05
             196           1.597         1.59647     5.03291e-05
             197         1.59703         1.59647     5.01553e-05
             198         1.59707         1.59647     4.99927e-05
             199          1.5971         1.59647     4.98419e-05
             200         1.59714         1.59648     4.97035e-05
             201         1.59718         1.59648     4.95783e-05
             202         1.59722         1.59649      4.9466e-05
             203         1.59726         1.59649     4.93681e-05
             204          1.5973         1.59649     4.92855e-05
             205         1.59734          1.5965     4.92188e-05
             206         1.59739          1.5965     4.91699e-05
             207         1.59743         1.59651     4.91377e-05
             208         1.59748         1.59651     4.91239e-05
             209         1.59753         1.59652     4.91283e-05
             210         1.59758         1.59652     4.91542e-05
             211         1.59763         1.59653     4.92023e-05
             212         1.59768         1.59653     4.92713e-05
             213         1.59773         1.59654      4.9362e-05
             214         1.59779         1.59654     4.94766e-05
             215         1.59785         1.59655     4.96171e-05
             216         1.59791         1.59656     4.97831e-05
             217         1.59796         1.59656      4.9974e-05
             218         1.59802         1.59657     5.01904e-05
             219         1.59808         1.59658     5.04359e-05
             220         1.59815         1.59658     5.07109e-05
             221         1.59821         1.59659     5.10143e-05
             222         1.59828          1.5966     5.13464e-05
             223         1.59834         1.59661     5.17088e-05
             224         1.59841         1.59661     5.20998e-05
             225         1.59847         1.59662     5.25175e-05
             226         1.59853         1.59663     5.29612e-05
             227          1.5986         1.59664     5.34319e-05
             228         1.59866         1.59665     5.39268e-05
             229         1.59872         1.59666     5.44463e-05
             230         1.59878         1.59667     5.49872e-05
             231         1.59885         1.59668     5.55543e-05
             232         1.59891         1.59668     5.61438e-05
             233         1.59896         1.59669     5.67479e-05
             234         1.59902          1.5967     5.73654e-05
             235         1.59906         1.59671     5.79917e-05
             236         1.59911         1.59672     5.86252e-05
             237         1.59915         1.59673     5.92623e-05
             238         1.59918         1.59675     5.98993e-05
             239         1.59921         1.59676     6.05322e-05
             240         1.59924         1.59677     6.11586e-05
             241         1.59925         1.59678     6.17693e-05
             242         1.59927         1.59679     6.23667e-05
             243         1.59927          1.5968     6.29418e-05
             244         1.59927         1.59681     6.34937e-05
             245         1.59926         1.59682     6.40167e-05
             246         1.59924         1.59683     6.45071e-05
             247          1.5992         1.59684       6.496e-05
             248         1.59917         1.59685     6.53752e-05
             249         1.59912         1.59685     6.57483e-05
             250         1.59907         1.59686     6.60785e-05
             251           1.599         1.59687     6.63624e-05
             252         1.59893         1.59688     6.65989e-05
             253         1.59885         1.59689     6.67883e-05
