#BLOCK   PARTNER   MY_BETA PART_BETA   DELTA_BDELTA_E  ACCEPTED
0         5   1.57735   1.10206  0.475288   21.2023         1
1         3   1.57735   2.59099  -1.01364  -5.43634         1
2         5   1.57735   1.10206  0.475288  -5.36859         0
3         3   1.57735   2.59099  -1.01364  -4.29582         1
4         5   1.57735   1.10206  0.475288   3.14602         1
5         3   1.57735   2.59099  -1.01364  -4.49805         1
6         5   1.57735   1.10206  0.475288   7.70555         1
7         3   1.57735   2.59099  -1.01364 -0.363278         1
8         5   1.57735   1.10206  0.475288   6.86232         1
9         3   1.57735   2.59099  -1.01364   -4.5112         1
10         5   1.57735   1.10206  0.475288  -2.35112         0
11         3   1.57735   2.59099  -1.01364   1.56255         0
12         5   1.57735   1.10206  0.475288  -5.29978         0
13         3   1.57735   2.59099  -1.01364   1.56255         0
14         5   1.57735   1.10206  0.475288  -5.29978         0
15         3   1.57735   2.59099  -1.01364   1.56255         0
16         5   1.57735   1.10206  0.475288  -3.35924         0
17         3   1.57735   2.59099  -1.01364   -1.8608         1
18         5   1.57735   1.10206  0.475288   7.45268         1
19         3   1.57735   2.59099  -1.01364  -10.7107         1
20         5   1.57735   1.10206  0.475288  -6.78259         0
21         3   1.57735   2.59099  -1.01364   8.84949         0
22         5   1.57735   1.10206  0.475288   10.6638         1
23         3   1.57735   2.59099  -1.01364   -9.1792         1
24         5   1.57735   1.10206  0.475288  -1.48455         0
25         3   1.57735   2.59099  -1.01364   7.28695         0
26         5   1.57735   1.10206  0.475288  0.201401         1
27         3   1.57735   2.59099  -1.01364   6.03108         0
28         5   1.57735   1.10206  0.475288  -14.2412         0
29         3   1.57735   2.59099  -1.01364    10.762         0
30         5   1.57735   1.10206  0.475288   1.51042         1
31         3   1.57735   2.59099  -1.01364   4.52066         0
32         5   1.57735   1.10206  0.475288  -2.12861         0
33         3   1.57735   2.59099  -1.01364   5.89173         0
34         5   1.57735   1.10206  0.475288   1.80218         1
35         3   1.57735   2.59099  -1.01364   4.08956         0
36         5   1.57735   1.10206  0.475288  -1.80218         0
37         3   1.57735   2.59099  -1.01364   5.14237         0
38         5   1.57735   1.10206  0.475288  -2.02703         0
39         3   1.57735   2.59099  -1.01364   3.66479         1
40         5   1.57735   1.10206  0.475288  -6.94455         0
41         3   1.57735   2.59099  -1.01364  -3.66479         1
42         5   1.57735   1.10206  0.475288   2.10109         1
43         3   1.57735   2.59099  -1.01364    1.5637         0
44         5   1.57735   1.10206  0.475288  -5.38085         0
45         3   1.57735   2.59099  -1.01364    1.5637         0
46         5   1.57735   1.10206  0.475288  -2.65553         0
47         3   1.57735   2.59099  -1.01364  0.733797         1
48         5   1.57735   1.10206  0.475288  -5.58287         0
49         3   1.57735   2.59099  -1.01364 -0.733797         1
50         5   1.57735   1.10206  0.475288  -4.01763         0
51         3   1.57735   2.59099  -1.01364   1.56524         0
52         5   1.57735   1.10206  0.475288  -6.74295         0
53         3   1.57735   2.59099  -1.01364   1.56524         1
54         5   1.57735   1.10206  0.475288  -7.76363         0
55         3   1.57735   2.59099  -1.01364  -1.56524         1
56         5   1.57735   1.10206  0.475288  -7.11505         0
57         3   1.57735   2.59099  -1.01364   1.56524         0
58         5   1.57735   1.10206  0.475288  -2.38855         1
59         3   1.57735   2.59099  -1.01364    3.9538         0
60         5   1.57735   1.10206  0.475288  -5.02042         0
61         3   1.57735   2.59099  -1.01364    3.9538         0
62         5   1.57735   1.10206  0.475288   3.72174         1
63         3   1.57735   2.59099  -1.01364 -0.119072         1
64         5   1.57735   1.10206  0.475288  -11.3798         0
65         3   1.57735   2.59099  -1.01364   2.40296         0
66         5   1.57735   1.10206  0.475288  -6.35935         0
67         3   1.57735   2.59099  -1.01364   2.40296         0
68         5   1.57735   1.10206  0.475288  -6.35935         0
69         3   1.57735   2.59099  -1.01364   2.40296         0
70         5   1.57735   1.10206  0.475288  -4.96772         0
71         3   1.57735   2.59099  -1.01364   2.40296         0
72         5   1.57735   1.10206  0.475288  -5.27973         0
73         3   1.57735   2.59099  -1.01364   2.40296         0
74         5   1.57735   1.10206  0.475288  -6.94522         0
75         3   1.57735   2.59099  -1.01364  -1.19231         1
76         5   1.57735   1.10206  0.475288  -7.45719         0
77         3   1.57735   2.59099  -1.01364   1.26265         0
78         5   1.57735   1.10206  0.475288  -6.79188         0
79         3   1.57735   2.59099  -1.01364  0.805349         0
80         5   1.57735   1.10206  0.475288  -4.63967         0
81         3   1.57735   2.59099  -1.01364  0.875695         1
82         5   1.57735   1.10206  0.475288  -4.50321         0
83         3   1.57735   2.59099  -1.01364 -0.875695         1
84         5   1.57735   1.10206  0.475288  -4.07608         0
85         3   1.57735   2.59099  -1.01364  0.875695         0
86         5   1.57735   1.10206  0.475288  -3.62752         0
87         3   1.57735   2.59099  -1.01364  0.875695         0
88         5   1.57735   1.10206  0.475288  -3.62752         0
89         3   1.57735   2.59099  -1.01364  0.875695         1
90         5   1.57735   1.10206  0.475288  -4.95177         0
91         3   1.57735   2.59099  -1.01364 -0.875695         1
