#T      BLOCK:   ACTUAL_X:      X_AVE:      ERROR:
            0.62               9         36.6361         39.4552        0.681872
            0.62              10         40.3959         39.5493         0.62014
            0.62              11          35.145         39.1489        0.680856
            0.62              12         38.0208         39.0549        0.630575
            0.62              13         38.7435         39.0309        0.582524
            0.62              14         38.9287         39.0236        0.540961
            0.62              15         36.9952         38.8884        0.521525
            0.62              16         40.9375         39.0165         0.50441
            0.62              17         37.8144         38.9458        0.479669
            0.62              18         39.1699         38.9582        0.453182
            0.62              19         42.2035          39.129        0.460394
            0.62              20         40.9541         39.2203        0.446327
            0.64               1         35.5904         35.5904               0
            0.64               2         34.3219         34.9561         0.44849
            0.64               3         34.5953         34.8359        0.314707
            0.64               4         33.7961         34.5759         0.32617
            0.64               5         33.7067         34.4021        0.303753
            0.64               6         36.0327         34.6738        0.354428
            0.64               7         32.9657         34.4298        0.378587
            0.64               8         34.5209         34.4412        0.331435
            0.64               9         36.1987         34.6365        0.347405
            0.64              10         37.0681         34.8797        0.388556
            0.64              11         33.3342         34.7392         0.37778
            0.64              12         34.8814          34.751        0.346485
            0.64              13         32.5997         34.5855        0.357171
            0.64              14         33.2768          34.492        0.343675
            0.64              15         37.2538         34.6762        0.366782
            0.64              16          34.873         34.6885        0.344065
            0.64              17           32.56         34.5633        0.345856
            0.64              18         34.9198         34.5831        0.327209
            0.64              19         33.3071         34.5159        0.316803
            0.64              20         34.8713         34.5337        0.301461
            0.66               1         29.7285         29.7285               0
            0.66               2         32.3326         31.0305        0.920675
            0.66               3         32.8557         31.6389        0.789613
            0.66               4         31.1665         31.5208        0.600979
            0.66               5         30.8221         31.3811        0.496763
            0.66               6         31.9631         31.4781        0.423336
            0.66               7         29.1151         31.1405        0.478894
            0.66               8         31.3283          31.164        0.419607
            0.66               9         29.6341          30.994        0.405957
            0.66              10         31.5315         31.0478        0.368903
            0.66              11         32.3539         31.1665        0.353961
            0.66              12          31.248         31.1733         0.32453
            0.66              13         33.4974         31.3521        0.345317
            0.66              14         31.8989         31.3911        0.322853
            0.66              15         29.8975         31.2916        0.316313
            0.66              16         32.0633         31.3398        0.300199
            0.66              17         30.1467         31.2696        0.290628
            0.66              18         32.0356         31.3122         0.27758
            0.66              19         31.3459         31.3139        0.262976
            0.66              20         28.5467         31.1756        0.283903
            0.68               1          28.268          28.268               0
            0.68               2         28.2348         28.2514       0.0117269
            0.68               3         26.9683         27.8237        0.349319
            0.68               4         28.1974         27.9171          0.2742
            0.68               5         28.5897         28.0517         0.25019
            0.68               6         26.5716          27.805        0.306882
            0.68               7         28.6143         27.9206        0.283988
