#T      BLOCK:  ACTUAL_CV:     CV_AVE:      ERROR:
            0.62               2        0.453274        0.438909       0.0101574
            0.62               3        0.440859        0.439559      0.00679235
            0.62               4         0.41198        0.432664      0.00784895
            0.62               5        0.434392         0.43301      0.00628676
            0.62               6        0.447156        0.435367      0.00566385
            0.62               7        0.406741        0.431278      0.00615657
            0.62               8        0.421266        0.430026      0.00551274
            0.62               9        0.416856        0.428563      0.00509075
            0.62              10        0.445159        0.430223      0.00484465
            0.62              11        0.404601        0.427893       0.0049325
            0.62              12        0.418262        0.427091       0.0045863
            0.62              13        0.433216        0.427562      0.00425764
            0.62              14        0.445235        0.428824      0.00413644
            0.62              15        0.418062        0.428107       0.0039224
            0.62              16        0.410214        0.426988      0.00383335
            0.62              17          0.4103        0.426007      0.00373144
            0.62              18        0.433314        0.426413      0.00354616
            0.62              19         0.41807        0.425974      0.00338659
            0.62              20        0.424771        0.425914       0.0032178
            0.64               1        0.425644        0.425644               0
            0.64               2         0.41441        0.420027      0.00397152
            0.64               3        0.434176        0.424743      0.00467319
            0.64               4        0.422629        0.424215      0.00353465
            0.64               5        0.424177        0.424207      0.00282773
            0.64               6        0.453791        0.429138      0.00508059
            0.64               7        0.419064        0.427699      0.00455404
            0.64               8        0.426952        0.427606      0.00398574
            0.64               9        0.447248        0.429788       0.0040971
            0.64              10        0.432727        0.430082      0.00369791
            0.64              11        0.415272        0.428736      0.00359851
            0.64              12        0.446029        0.430177      0.00357557
            0.64              13        0.405815        0.428303      0.00375968
            0.64              14         0.41155        0.427106      0.00367663
            0.64              15        0.434664         0.42761      0.00346587
            0.64              16        0.427159        0.427582      0.00324937
            0.64              17        0.404505        0.426224      0.00332971
            0.64              18        0.432208        0.426557      0.00316128
            0.64              19        0.435879        0.427047      0.00303273
            0.64              20        0.444244        0.427907       0.0030005
            0.66               1        0.414145        0.414145               0
            0.66               2        0.438542        0.426343      0.00862566
            0.66               3         0.45205        0.434912      0.00905641
            0.66               4        0.446207        0.437736       0.0072191
            0.66               5        0.418163        0.433821      0.00675376
            0.66               6        0.409876         0.42983      0.00670432
            0.66               7        0.416479        0.427923      0.00601177
            0.66               8        0.447639        0.430387      0.00574327
            0.66               9        0.420503        0.429289      0.00520908
            0.66              10        0.431628        0.429523      0.00469343
            0.66              11        0.431289        0.429684      0.00426949
            0.66              12        0.422244        0.429064      0.00395846
            0.66              13        0.446192        0.430381      0.00386701
            0.66              14        0.441836        0.431199      0.00367633
            0.66              15        0.419571        0.430424      0.00351203
            0.66              16        0.428615        0.430311      0.00329435
            0.66              17        0.432301        0.430428      0.00310265
            0.66              18        0.453002        0.431682      0.00317363
            0.66              19        0.419591        0.431046      0.00306974
            0.66              20        0.435115        0.431249      0.00292298
            0.68               1        0.455593        0.455593               0
            0.68               2        0.445207          0.4504      0.00367201
