#T      BLOCK:   ACTUAL_M:      M_AVE:      ERROR:
            0.62               2        0.577635        0.635641       0.0410158
            0.62               3        0.641571        0.637617       0.0273915
            0.62               4        0.598535        0.627847       0.0222179
            0.62               5        0.596759        0.621629        0.018624
            0.62               6        0.630781        0.623155       0.0155823
            0.62               7        0.611642         0.62151       0.0134428
            0.62               8        0.613498        0.620509       0.0117997
            0.62               9        0.680275        0.627149       0.0122152
            0.62              10        0.591754         0.62361        0.011495
            0.62              11         0.65348        0.626325        0.010766
            0.62              12        0.633574        0.626929      0.00988577
            0.62              13        0.677436        0.630814      0.00985924
            0.62              14         0.64748        0.632005      0.00922659
            0.62              15        0.701591        0.636644      0.00970794
            0.62              16        0.660954        0.638163      0.00921933
            0.62              17        0.604141        0.636162      0.00889158
            0.62              18        0.549933        0.631371      0.00960174
            0.62              19        0.705146        0.635254      0.00985025
            0.62              20        0.626637        0.634823      0.00936715
            0.64               1        0.615578        0.615578               0
            0.64               2        0.556434        0.586006       0.0209106
            0.64               3        0.537179         0.56973       0.0192597
            0.64               4        0.587892        0.574271       0.0149704
            0.64               5        0.639978        0.587412       0.0167807
            0.64               6        0.534978        0.578673       0.0160995
            0.64               7        0.573978        0.578002       0.0138135
            0.64               8        0.513633        0.569956       0.0142387
            0.64               9        0.587256        0.571878       0.0127857
            0.64              10        0.567336        0.571424       0.0115152
            0.64              11        0.489823        0.564006       0.0126339
            0.64              12        0.602979        0.567254       0.0119912
            0.64              13        0.587928        0.568844       0.0111738
            0.64              14        0.550873         0.56756       0.0104491
            0.64              15        0.526078        0.564795       0.0101119
            0.64              16        0.555235        0.564197      0.00949751
            0.64              17        0.562344        0.564088      0.00893946
            0.64              18        0.610417        0.566662      0.00880555
            0.64              19        0.590836        0.567935      0.00843352
            0.64              20        0.603149        0.569695      0.00819358
            0.66               1        0.517788        0.517788               0
            0.66               2        0.570317        0.544053       0.0185718
            0.66               3        0.537539        0.541882       0.0125074
            0.66               4        0.571345        0.549247        0.011344
            0.66               5        0.431412         0.52568       0.0229496
            0.66               6        0.545876        0.529046       0.0193699
            0.66               7        0.566658        0.534419        0.017332
            0.66               8        0.524433        0.533171       0.0152104
            0.66               9        0.571718        0.537454       0.0141105
            0.66              10         0.59783        0.543492       0.0139313
            0.66              11        0.584441        0.547214       0.0131528
            0.66              12         0.52295        0.545192       0.0122112
            0.66              13        0.577208        0.547655       0.0115175
            0.66              14        0.615723        0.552517       0.0116761
            0.66              15        0.567403        0.553509       0.0109397
            0.66              16        0.538666        0.552582       0.0102953
            0.66              17        0.567183        0.553441      0.00972543
            0.66              18        0.568729         0.55429      0.00922214
            0.66              19        0.519146         0.55244      0.00892033
            0.66              20        0.552373        0.552437      0.00847431
            0.68               1         0.49676         0.49676               0
            0.68               2        0.549851        0.523305       0.0187703
            0.68               3        0.499173        0.515261       0.0141325
            0.68               4        0.477194        0.505744       0.0134266
            0.68               5        0.497778        0.504151       0.0108354
            0.68               6        0.466016        0.497795       0.0107329
            0.68               7        0.479767         0.49522      0.00950365
            0.68               8        0.513021        0.497445      0.00857222
            0.68               9        0.485666        0.496136      0.00771902
            0.68              10        0.454067        0.491929      0.00801192
            0.68              11        0.454357        0.488514       0.0079785
            0.68              12        0.460619        0.486189      0.00764476
            0.68              13        0.497998        0.487097      0.00711046
            0.68              14         0.49988         0.48801      0.00666094
            0.68              15        0.474329        0.487098      0.00627902
            0.68              16        0.471596        0.486129      0.00596086
            0.68              17        0.438025          0.4833      0.00624586
            0.68              18        0.480048        0.483119      0.00590148
            0.68              19        0.515149        0.484805      0.00582668
            0.68              20        0.478986        0.484514       0.0055426
             0.7               1        0.491981        0.491981               0
             0.7               2        0.471101        0.481541      0.00738241
             0.7               3        0.424507         0.46253       0.0162843
             0.7               4         0.46359        0.462795       0.0122154
             0.7               5        0.424814        0.455199       0.0119021
             0.7               6        0.501655        0.462941       0.0121793
             0.7               7        0.478136        0.465112        0.010631
             0.7               8         0.48603        0.467727      0.00961833
             0.7               9        0.410774        0.461399       0.0104255
             0.7              10        0.388333        0.454092       0.0116656
             0.7              11        0.405034        0.449632       0.0114259
             0.7              12        0.400796        0.445563        0.011175
             0.7              13         0.44534        0.445546       0.0103154
             0.7              14         0.40507        0.442654      0.00997553
             0.7              15        0.450608        0.443185      0.00932458
             0.7              16        0.481802        0.445598      0.00904878
             0.7              17        0.510797        0.449433      0.00929379
             0.7              18        0.415405        0.447543      0.00896768
             0.7              19        0.442253        0.447265      0.00850002
             0.7              20        0.390513        0.444427      0.00853553
            0.72               1        0.369527        0.369527               0
            0.72               2         0.42141        0.395468       0.0183436
            0.72               3        0.426231        0.405723       0.0148206
            0.72               4        0.336532        0.388425       0.0186537
            0.72               5        0.450177        0.400775       0.0185666
            0.72               6        0.330646        0.389087       0.0187945
            0.72               7        0.372052        0.386654       0.0162664
            0.72               8        0.432019        0.392324       0.0151894
            0.72               9        0.350506        0.387678       0.0141946
            0.72              10        0.465426        0.395453       0.0147515
            0.72              11         0.41608        0.397328       0.0135291
            0.72              12        0.436323        0.400577        0.012786
            0.72              13        0.393094        0.400002       0.0118154
            0.72              14        0.448428        0.403461       0.0114666
            0.72              15        0.428241        0.405113       0.0108205
            0.72              16        0.444571        0.407579       0.0104215
            0.72              17        0.425634        0.408641      0.00986241
            0.72              18        0.396457        0.407964      0.00933769
            0.72              19         0.38783        0.406904      0.00890616
            0.72              20        0.395766        0.406348      0.00847825
            0.74               1        0.372456        0.372456               0
            0.74               2        0.343477        0.357966       0.0102454
            0.74               3        0.376328        0.364087      0.00846315
            0.74               4        0.400657        0.373229       0.0101479
            0.74               5        0.376168        0.373817       0.0081353
            0.74               6        0.401467        0.378425      0.00797855
            0.74               7        0.374517        0.377867      0.00685826
            0.74               8        0.399339        0.380551      0.00650503
            0.74               9        0.363581        0.378665      0.00604936
            0.74              10        0.301184        0.370917      0.00914722
            0.74              11        0.405111        0.374026      0.00882807
            0.74              12        0.357486        0.372648      0.00819929
            0.74              13        0.387033        0.373754      0.00764288
            0.74              14        0.374443        0.373803      0.00709712
            0.74              15         0.42422        0.377164      0.00737706
            0.74              16        0.402072        0.378721      0.00707834
            0.74              17        0.374108         0.37845      0.00666717
            0.74              18        0.352925        0.377032       0.0064458
            0.74              19        0.386078        0.377508      0.00612411
            0.74              20        0.393205        0.378293      0.00586798
            0.76               1        0.375566        0.375566               0
            0.76               2        0.332008        0.353787       0.0154003
            0.76               3        0.351398         0.35299       0.0102874
            0.76               4        0.321888        0.345215       0.0102408
            0.76               5        0.348157        0.345803      0.00820955
            0.76               6        0.384114        0.352189      0.00898769
            0.76               7        0.314687        0.346831      0.00916235
            0.76               8        0.323467        0.343911      0.00846975
            0.76               9        0.286462        0.337527       0.0096384
            0.76              10        0.338749         0.33765      0.00867534
            0.76              11        0.293042        0.333594      0.00878349
            0.76              12        0.360889        0.335869      0.00834085
            0.76              13        0.326172        0.335123      0.00773253
            0.76              14        0.370751        0.337668      0.00758742
            0.76              15        0.369249        0.339773      0.00736792
            0.76              16         0.39162        0.343014       0.0075866
            0.76              17         0.33522        0.342555      0.00715417
            0.76              18        0.337492        0.342274      0.00676224
            0.76              19        0.338965          0.3421      0.00640858
            0.76              20        0.373763        0.343683      0.00628066
            0.78               1        0.289603        0.289603               0
            0.78               2        0.348731        0.319167        0.020905
            0.78               3        0.316778        0.318371       0.0139518
            0.78               4        0.319494        0.318652       0.0104667
            0.78               5        0.351023        0.325126       0.0101807
            0.78               6         0.32345        0.324847      0.00848773
            0.78               7        0.349584         0.32838      0.00797702
            0.78               8        0.307253         0.32574      0.00740417
            0.78               9        0.298657         0.32273      0.00716693
            0.78              10        0.319572        0.322415      0.00645719
            0.78              11        0.317772        0.321992      0.00588395
            0.78              12        0.353137        0.324588       0.0059385
            0.78              13        0.308827        0.323375      0.00560408
            0.78              14        0.317196        0.322934      0.00522114
            0.78              15        0.311518        0.322173      0.00492822
            0.78              16        0.270924         0.31897      0.00556461
            0.78              17        0.316626        0.318832      0.00523898
