#T      BLOCK:   ACTUAL_M:      M_AVE:      ERROR:
            0.62               2         0.65814        0.639049       0.0134993
            0.62               3        0.637588        0.638562      0.00900835
            0.62               4        0.658159        0.643461      0.00797802
            0.62               5        0.621844        0.639138      0.00746252
            0.62               6        0.578084        0.628962       0.0111786
            0.62               7        0.629427        0.629029      0.00958183
            0.62               8        0.638879         0.63026      0.00846284
            0.62               9          0.5902        0.625809      0.00861392
            0.62              10         0.64798        0.628026       0.0080328
            0.62              11        0.613778        0.626731      0.00740623
            0.62              12        0.603661        0.624808      0.00703414
            0.62              13        0.623056        0.624673      0.00649435
            0.62              14        0.615156        0.623993      0.00606594
            0.62              15        0.604272        0.622679      0.00580228
            0.62              16         0.58311        0.620206      0.00594334
            0.62              17        0.660087        0.622552      0.00603901
            0.62              18        0.621255         0.62248      0.00570394
            0.62              19        0.642665        0.623542      0.00550178
            0.62              20        0.581146        0.621422      0.00562024
            0.64               1        0.631422        0.631422               0
            0.64               2         0.55068        0.591051       0.0285469
            0.64               3        0.613842        0.598648       0.0200166
            0.64               4         0.61174        0.601921       0.0152777
            0.64               5         0.58363        0.598263       0.0126526
            0.64               6        0.554004        0.590886       0.0125106
            0.64               7        0.572974        0.588327        0.010982
            0.64               8        0.597621        0.589489      0.00967046
            0.64               9        0.569734        0.587294      0.00884158
            0.64              10        0.608459         0.58941      0.00820684
            0.64              11        0.611948        0.591459      0.00771229
            0.64              12        0.594672        0.591727      0.00707424
            0.64              13        0.592219        0.591765      0.00653017
            0.64              14        0.579991        0.590924      0.00611765
            0.64              15        0.519518        0.586164       0.0073316
            0.64              16        0.582259         0.58592      0.00687743
            0.64              17        0.625179        0.588229      0.00684965
            0.64              18        0.520218        0.584451      0.00743858
            0.64              19        0.541006        0.582164      0.00739016
            0.64              20        0.579561        0.582034       0.0070218
            0.66               1        0.568685        0.568685               0
            0.66               2        0.484107        0.526396        0.029903
            0.66               3        0.549412        0.534068       0.0208963
            0.66               4        0.561805        0.541002       0.0167834
            0.66               5        0.515268        0.535856        0.014194
            0.66               6        0.516505         0.53263       0.0121892
            0.66               7        0.513777        0.529937       0.0107413
            0.66               8        0.517743        0.528413       0.0095062
            0.66               9        0.518666         0.52733      0.00851142
            0.66              10        0.536559        0.528253      0.00771016
            0.66              11        0.498331        0.525533      0.00747369
            0.66              12        0.554244        0.527925      0.00722373
            0.66              13        0.482698        0.524446      0.00745893
            0.66              14        0.512385        0.523585      0.00697572
            0.66              15        0.490848        0.521402      0.00684357
            0.66              16        0.566483         0.52422      0.00697177
            0.66              17        0.562861        0.526493       0.0069223
            0.66              18        0.532547        0.526829       0.0065459
            0.66              19        0.561482        0.528653      0.00645045
            0.66              20        0.490383        0.526739      0.00640546
            0.68               1        0.466833        0.466833               0
            0.68               2        0.494644        0.480739      0.00983255
            0.68               3         0.48808        0.483186      0.00685276
            0.68               4        0.492633        0.485547      0.00553161
            0.68               5        0.499529        0.488344      0.00508317
            0.68               6         0.48546        0.487863      0.00425864
            0.68               7        0.480755        0.486848      0.00376938
            0.68               8        0.493389        0.487665      0.00338573
            0.68               9         0.45991        0.484582      0.00418462
            0.68              10        0.506197        0.486743      0.00428825
            0.68              11        0.487814        0.486841      0.00389951
            0.68              12        0.438727        0.482831      0.00524534
            0.68              13        0.495405        0.483798      0.00493022
            0.68              14         0.48108        0.483604      0.00458188
