#T:     ACCEPTANCE:
0.5       0.0267258
0.5       0.0267997
0.5       0.0258259
0.5       0.0253414
0.5       0.0256945
0.5       0.0258889
0.5       0.0260304
0.5       0.0260764
0.5       0.0259389
0.5       0.0260525
0.5       0.0258738
0.5       0.0257498
0.5       0.0256226
0.5       0.0257412
0.5       0.0256667
0.5       0.0254384
0.5       0.0252821
0.5       0.0253828
0.5       0.0254577
0.5       0.0253692
0.52       0.0322661
0.52       0.0327438
0.52       0.0332428
0.52       0.0326452
0.52       0.0327659
0.52        0.033037
0.52       0.0330626
0.52       0.0329302
0.52       0.0327741
0.52       0.0326817
0.52       0.0325252
0.52       0.0327452
0.52       0.0327074
0.52       0.0327686
0.52       0.0329032
0.52       0.0329763
0.52       0.0328079
0.52       0.0327847
0.52       0.0328186
0.52       0.0327652
0.54       0.0381626
0.54       0.0389798
0.54       0.0390412
0.54       0.0396483
0.54       0.0394955
0.54        0.039379
0.54       0.0396452
0.54       0.0399416
0.54       0.0401826
0.54       0.0403333
0.54       0.0400481
0.54       0.0401812
0.54       0.0399793
0.54       0.0400006
0.54       0.0398977
0.54       0.0400035
0.54       0.0399362
0.54       0.0398378
0.54       0.0397328
0.54       0.0397536
0.56        0.046135
0.56       0.0460674
0.56       0.0471197
0.56       0.0466942
0.56       0.0474812
0.56       0.0477954
0.56       0.0477213
0.56       0.0475706
0.56       0.0474159
0.56       0.0475635
0.56       0.0473924
0.56       0.0474525
0.56       0.0475422
0.56       0.0476294
0.56       0.0478275
0.56       0.0479325
0.56       0.0481093
0.56       0.0481606
0.56       0.0481565
0.56       0.0482979
0.58       0.0544211
0.58       0.0547155
0.58        0.056036
0.58       0.0559672
0.58       0.0560853
0.58       0.0563086
0.58       0.0565795
0.58       0.0569584
0.58       0.0570879
0.58       0.0570488
0.58       0.0568841
0.58       0.0567168
0.58       0.0568329
0.58       0.0567567
0.58       0.0568178
0.58       0.0567009
0.58       0.0566698
0.58       0.0567518
0.58       0.0567235
0.58       0.0567627
0.6       0.0647215
0.6       0.0619305
0.6       0.0629267
0.6        0.063957
0.6       0.0636822
0.6       0.0640063
0.6       0.0644312
0.6       0.0644529
0.6        0.064655
0.6       0.0647893
0.6       0.0647569
0.6       0.0647137
0.6       0.0645287
0.6       0.0642728
0.6       0.0644394
0.6       0.0645963
0.6       0.0646224
0.6       0.0648192
0.6       0.0648681
0.6       0.0647897
0.62       0.0751083
0.62       0.0759128
0.62       0.0751184
0.62       0.0742926
0.62       0.0742664
0.62       0.0743239
0.62       0.0741489
0.62       0.0738313
0.62       0.0741502
0.62       0.0740933
0.62       0.0740326
0.62       0.0739962
0.62       0.0741464
0.62       0.0741314
0.62        0.074111
0.62       0.0740247
0.62       0.0738532
0.62        0.073966
0.62        0.074056
0.62       0.0741375
0.64       0.0819628
0.64       0.0821576
0.64         0.08319
0.64       0.0830425
0.64       0.0831009
0.64       0.0834476
0.64       0.0833128
0.64       0.0829749
0.64         0.08299
0.64        0.082951
0.64       0.0827841
0.64       0.0826296
0.64        0.082768
0.64       0.0827155
0.64       0.0826694
0.64       0.0825536
0.64       0.0824371
0.64       0.0824508
0.64       0.0824556
0.64       0.0825091
0.66       0.0873592
0.66       0.0900992
0.66       0.0908907
0.66       0.0913491
0.66       0.0914952
0.66       0.0909384
0.66       0.0911786
0.66        0.091112
0.66       0.0911382
0.66       0.0912904
0.66       0.0912954
0.66       0.0913842
