#T:     ACCEPTANCE:
0.78        0.131398
0.78        0.131315
0.78        0.131312
0.78        0.131532
0.78        0.131641
0.78        0.131616
0.78        0.131607
0.78        0.131533
0.78        0.131639
0.78         0.13155
0.78        0.131505
0.78        0.131434
0.78          0.1316
0.8        0.141096
0.8        0.140994
0.8         0.14079
0.8         0.14123
0.8        0.141364
0.8        0.141426
0.8        0.141924
0.8        0.141904
0.8        0.141543
0.8        0.141613
0.8        0.141281
0.8        0.141263
0.8        0.141295
0.8        0.141203
0.8        0.141138
0.8        0.141096
0.8        0.141084
0.8        0.141011
0.8        0.140994
0.8        0.141081
0.82        0.150333
0.82        0.151168
0.82        0.150906
0.82        0.150538
0.82        0.150426
0.82        0.150023
0.82        0.150105
0.82        0.150499
0.82        0.150517
0.82        0.150521
0.82         0.15033
0.82        0.150521
0.82        0.150546
0.82        0.150551
0.82        0.150703
0.82        0.150665
0.82        0.150634
0.82        0.150652
0.82        0.150698
0.82        0.150715
0.84        0.159299
0.84        0.159743
0.84        0.159659
0.84        0.159901
0.84        0.159859
0.84        0.159947
0.84        0.160097
0.84        0.159982
0.84        0.159885
0.84        0.159969
0.84        0.159954
0.84        0.159984
0.84        0.160021
0.84        0.160018
0.84         0.16002
0.84        0.160163
0.84        0.160332
0.84        0.160308
0.84        0.160227
0.84        0.160113
0.86        0.171364
0.86        0.171435
0.86        0.170346
0.86        0.170166
0.86        0.170298
0.86         0.16992
0.86        0.169622
0.86        0.169491
0.86        0.169771
0.86        0.169536
0.86        0.169569
0.86        0.169476
0.86        0.169423
0.86        0.169415
0.86        0.169335
0.86        0.169296
0.86        0.169225
0.86        0.169263
0.86        0.169366
0.86         0.16925
0.88        0.177985
0.88        0.178941
0.88        0.178552
0.88        0.178186
0.88        0.178048
0.88        0.178261
0.88        0.178227
0.88        0.178023
0.88        0.178208
0.88        0.178336
0.88        0.178192
0.88         0.17832
0.88        0.178236
0.88         0.17832
0.88        0.178199
0.88        0.178134
0.88        0.178167
0.88        0.178092
0.88        0.178155
0.88        0.178119
0.9        0.188387
0.9         0.18776
0.9        0.187872
0.9        0.187912
0.9        0.188037
0.9         0.18782
0.9        0.187518
0.9        0.187465
0.9        0.187682
0.9        0.187577
0.9        0.187621
0.9        0.187662
0.9        0.187839
0.9        0.187761
0.9        0.187775
0.9        0.187712
0.9        0.187623
0.9         0.18766
0.9        0.187528
0.9          0.1875
0.92        0.194947
0.92        0.195131
0.92        0.195967
0.92        0.196107
0.92        0.195913
0.92        0.195453
0.92        0.195825
0.92        0.196159
0.92        0.196175
0.92        0.196361
0.92        0.196418
0.92        0.196354
0.92        0.196309
0.92        0.196367
0.92        0.196413
0.92        0.196374
0.92        0.196521
0.92        0.196534
0.92        0.196569
0.92        0.196603
0.94        0.204013
0.94        0.203928
0.94        0.203975
0.94        0.203878
0.94        0.204196
0.94        0.204165
0.94        0.204168
0.94        0.204334
0.94        0.204433
0.94        0.204524
0.94        0.204686
0.94        0.204723
0.94        0.204744
0.94        0.204829
